Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-85bb75fc56-zgwg5,consul,10,38
default,consul-85bb75fc56-zgwg5,istio-proxy,4,88
default,frontend-us-central-1-68d47fcd9f-8swfj,hotel-reserv-frontend,0,4
default,frontend-us-central-1-68d47fcd9f-8swfj,istio-proxy,4,87
default,frontend-us-central-1-68d47fcd9f-fj2m6,hotel-reserv-frontend,0,4
default,frontend-us-central-1-68d47fcd9f-fj2m6,istio-proxy,9,86
default,frontend-us-east-1-6558d5d677-24ntq,hotel-reserv-frontend,0,5
default,frontend-us-east-1-6558d5d677-24ntq,istio-proxy,4,85
default,frontend-us-east-1-6558d5d677-6zslr,hotel-reserv-frontend,0,4
default,frontend-us-east-1-6558d5d677-6zslr,istio-proxy,3,84
default,frontend-us-south-1-b49876d6b-282xd,hotel-reserv-frontend,0,5
default,frontend-us-south-1-b49876d6b-282xd,istio-proxy,4,87
default,frontend-us-south-1-b49876d6b-xqlkz,hotel-reserv-frontend,0,4
default,frontend-us-south-1-b49876d6b-xqlkz,istio-proxy,4,85
default,frontend-us-west-1-99df4bf4b-jjgtp,hotel-reserv-frontend,0,7
default,frontend-us-west-1-99df4bf4b-jjgtp,istio-proxy,4,104
default,frontend-us-west-1-99df4bf4b-xn6pw,hotel-reserv-frontend,0,7
default,frontend-us-west-1-99df4bf4b-xn6pw,istio-proxy,3,108
default,geo-us-central-1-7d96d8c477-c2vfs,hotel-reserv-geo,0,5
default,geo-us-central-1-7d96d8c477-c2vfs,istio-proxy,4,85
default,geo-us-central-1-7d96d8c477-sw5bg,hotel-reserv-geo,0,5
default,geo-us-central-1-7d96d8c477-sw5bg,istio-proxy,4,87
default,geo-us-east-1-59c499fd77-2d54j,hotel-reserv-geo,0,6
default,geo-us-east-1-59c499fd77-2d54j,istio-proxy,3,89
default,geo-us-east-1-59c499fd77-g2542,hotel-reserv-geo,0,5
default,geo-us-east-1-59c499fd77-g2542,istio-proxy,3,85
default,geo-us-south-1-648d9f6f-g9828,hotel-reserv-geo,0,6
default,geo-us-south-1-648d9f6f-g9828,istio-proxy,3,85
default,geo-us-south-1-648d9f6f-t79tg,hotel-reserv-geo,0,6
default,geo-us-south-1-648d9f6f-t79tg,istio-proxy,3,86
default,geo-us-west-1-74b699fdd-8l4rb,hotel-reserv-geo,0,6
default,geo-us-west-1-74b699fdd-8l4rb,istio-proxy,4,85
default,geo-us-west-1-74b699fdd-tjc6h,hotel-reserv-geo,0,6
default,geo-us-west-1-74b699fdd-tjc6h,istio-proxy,3,87
default,jaeger-79fd7dbf88-m858q,hotel-reserv-jaeger,0,10
default,jaeger-79fd7dbf88-m858q,istio-proxy,3,87
default,memcached-profile-us-central-1-7f7b5b9d8f-pkdpx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7f7b5b9d8f-pkdpx,istio-proxy,3,86
default,memcached-profile-us-central-1-7f7b5b9d8f-qkffz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7f7b5b9d8f-qkffz,istio-proxy,3,86
default,memcached-profile-us-east-1-786bb8f6bf-4t5lg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-786bb8f6bf-4t5lg,istio-proxy,3,85
default,memcached-profile-us-east-1-786bb8f6bf-8b6b9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-786bb8f6bf-8b6b9,istio-proxy,3,89
default,memcached-profile-us-south-1-996576c6-fdlkw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-996576c6-fdlkw,istio-proxy,3,87
default,memcached-profile-us-south-1-996576c6-stjnl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-996576c6-stjnl,istio-proxy,3,88
default,memcached-profile-us-west-1-7c8788b4fd-hhh9f,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7c8788b4fd-hhh9f,istio-proxy,3,84
default,memcached-profile-us-west-1-7c8788b4fd-xsp45,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7c8788b4fd-xsp45,istio-proxy,4,85
default,memcached-rate-us-central-1-7f7bd596c8-jdjx2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7f7bd596c8-jdjx2,istio-proxy,3,88
default,memcached-rate-us-central-1-7f7bd596c8-jh66h,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7f7bd596c8-jh66h,istio-proxy,3,85
default,memcached-rate-us-east-1-646cf5d746-86mml,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-646cf5d746-86mml,istio-proxy,3,85
default,memcached-rate-us-east-1-646cf5d746-xvd5l,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-646cf5d746-xvd5l,istio-proxy,3,85
default,memcached-rate-us-south-1-6f9549d94b-675rn,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6f9549d94b-675rn,istio-proxy,3,86
default,memcached-rate-us-south-1-6f9549d94b-lnfhp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6f9549d94b-lnfhp,istio-proxy,4,87
default,memcached-rate-us-west-1-78fd79df57-284dz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-78fd79df57-284dz,istio-proxy,3,85
default,memcached-rate-us-west-1-78fd79df57-lnclg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-78fd79df57-lnclg,istio-proxy,4,87
default,memcached-reserve-us-central-1-77bdb7b859-6nt96,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-77bdb7b859-6nt96,istio-proxy,3,86
default,memcached-reserve-us-central-1-77bdb7b859-rbs6m,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-77bdb7b859-rbs6m,istio-proxy,3,85
default,memcached-reserve-us-east-1-5d9456c67c-ktj54,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5d9456c67c-ktj54,istio-proxy,3,87
default,memcached-reserve-us-east-1-5d9456c67c-tmkg9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5d9456c67c-tmkg9,istio-proxy,4,85
default,memcached-reserve-us-south-1-5965976946-2wjpw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5965976946-2wjpw,istio-proxy,3,86
default,memcached-reserve-us-south-1-5965976946-hvgtp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5965976946-hvgtp,istio-proxy,3,85
default,memcached-reserve-us-west-1-744684d9c4-bxp7k,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-744684d9c4-bxp7k,istio-proxy,4,84
default,memcached-reserve-us-west-1-744684d9c4-wlr6t,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-744684d9c4-wlr6t,istio-proxy,3,87
default,mongodb-geo-us-central-1-59754fc7b5-8v6l2,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-central-1-59754fc7b5-8v6l2,istio-proxy,4,86
default,mongodb-geo-us-east-1-68cdc847f-95z9g,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-east-1-68cdc847f-95z9g,istio-proxy,3,85
default,mongodb-geo-us-south-1-676f7fc6b8-wjjb7,hotel-reserv-geo-mongo,3,163
default,mongodb-geo-us-south-1-676f7fc6b8-wjjb7,istio-proxy,3,88
default,mongodb-geo-us-west-1-6599f8db44-vpfc5,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-west-1-6599f8db44-vpfc5,istio-proxy,10,88
default,mongodb-profile-us-central-1-d8fbdc8f8-vx22j,hotel-reserv-profile-mongo,4,163
default,mongodb-profile-us-central-1-d8fbdc8f8-vx22j,istio-proxy,3,85
default,mongodb-profile-us-east-1-5996bb5658-c6q29,hotel-reserv-profile-mongo,3,160
default,mongodb-profile-us-east-1-5996bb5658-c6q29,istio-proxy,3,86
default,mongodb-profile-us-south-1-86dcc8c5cb-pm7c5,hotel-reserv-profile-mongo,3,162
default,mongodb-profile-us-south-1-86dcc8c5cb-pm7c5,istio-proxy,3,86
default,mongodb-profile-us-west-1-69558b874d-ps846,hotel-reserv-profile-mongo,3,163
default,mongodb-profile-us-west-1-69558b874d-ps846,istio-proxy,3,86
default,mongodb-rate-us-central-1-b5678754c-8vqlv,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-central-1-b5678754c-8vqlv,istio-proxy,3,86
default,mongodb-rate-us-east-1-74884b44c9-879f7,hotel-reserv-rate-mongo,4,160
default,mongodb-rate-us-east-1-74884b44c9-879f7,istio-proxy,3,87
default,mongodb-rate-us-south-1-65ff6cf46-pksfx,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-south-1-65ff6cf46-pksfx,istio-proxy,3,85
default,mongodb-rate-us-west-1-5d74864784-dh2mb,hotel-reserv-rate-mongo,3,161
