Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-85bb75fc56-zgwg5,consul,10,38
default,consul-85bb75fc56-zgwg5,istio-proxy,3,88
default,frontend-us-central-1-68d47fcd9f-8swfj,hotel-reserv-frontend,240,8
default,frontend-us-central-1-68d47fcd9f-8swfj,istio-proxy,594,92
default,frontend-us-central-1-68d47fcd9f-fj2m6,hotel-reserv-frontend,242,8
default,frontend-us-central-1-68d47fcd9f-fj2m6,istio-proxy,606,92
default,frontend-us-east-1-6558d5d677-24ntq,hotel-reserv-frontend,190,8
default,frontend-us-east-1-6558d5d677-24ntq,istio-proxy,496,89
default,frontend-us-east-1-6558d5d677-6zslr,hotel-reserv-frontend,202,8
default,frontend-us-east-1-6558d5d677-6zslr,istio-proxy,480,89
default,frontend-us-south-1-b49876d6b-282xd,hotel-reserv-frontend,220,8
default,frontend-us-south-1-b49876d6b-282xd,istio-proxy,542,91
default,frontend-us-south-1-b49876d6b-xqlkz,hotel-reserv-frontend,163,8
default,frontend-us-south-1-b49876d6b-xqlkz,istio-proxy,208,88
default,frontend-us-west-1-99df4bf4b-jjgtp,hotel-reserv-frontend,541,20
default,frontend-us-west-1-99df4bf4b-jjgtp,istio-proxy,963,121
default,frontend-us-west-1-99df4bf4b-xn6pw,hotel-reserv-frontend,518,20
default,frontend-us-west-1-99df4bf4b-xn6pw,istio-proxy,1312,123
default,geo-us-central-1-7d96d8c477-c2vfs,hotel-reserv-geo,46,8
default,geo-us-central-1-7d96d8c477-c2vfs,istio-proxy,83,86
default,geo-us-central-1-7d96d8c477-sw5bg,hotel-reserv-geo,31,8
default,geo-us-central-1-7d96d8c477-sw5bg,istio-proxy,74,87
default,geo-us-east-1-59c499fd77-2d54j,hotel-reserv-geo,27,8
default,geo-us-east-1-59c499fd77-2d54j,istio-proxy,55,89
default,geo-us-east-1-59c499fd77-g2542,hotel-reserv-geo,24,8
default,geo-us-east-1-59c499fd77-g2542,istio-proxy,54,86
default,geo-us-south-1-648d9f6f-g9828,hotel-reserv-geo,38,8
default,geo-us-south-1-648d9f6f-g9828,istio-proxy,61,86
default,geo-us-south-1-648d9f6f-t79tg,hotel-reserv-geo,40,9
default,geo-us-south-1-648d9f6f-t79tg,istio-proxy,63,86
default,geo-us-west-1-74b699fdd-8l4rb,hotel-reserv-geo,73,8
default,geo-us-west-1-74b699fdd-8l4rb,istio-proxy,134,86
default,geo-us-west-1-74b699fdd-tjc6h,hotel-reserv-geo,58,10
default,geo-us-west-1-74b699fdd-tjc6h,istio-proxy,81,87
default,jaeger-79fd7dbf88-m858q,hotel-reserv-jaeger,189,133
default,jaeger-79fd7dbf88-m858q,istio-proxy,3,87
default,memcached-profile-us-central-1-7f7b5b9d8f-pkdpx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7f7b5b9d8f-pkdpx,istio-proxy,4,86
default,memcached-profile-us-central-1-7f7b5b9d8f-qkffz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7f7b5b9d8f-qkffz,istio-proxy,3,86
default,memcached-profile-us-east-1-786bb8f6bf-4t5lg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-786bb8f6bf-4t5lg,istio-proxy,4,84
default,memcached-profile-us-east-1-786bb8f6bf-8b6b9,hotel-reserv-profile-mmc,0,1
