counter,region,service,endpoint,rps
1,us-east-1,frontend,frontend@POST@/user,101
1,us-east-1,frontend,frontend@GET@/recommendations,110
1,us-east-1,frontend,frontend@POST@/reservation,110
1,us-east-1,frontend,frontend@GET@/hotels,112
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,110
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,208
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,110
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,107
1,us-east-1,user,user@POST@/user.User/CheckUser,229
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,114
1,us-east-1,slateingress,slateingress@POST@/user,106
1,us-east-1,slateingress,slateingress@GET@/recommendations,112
1,us-east-1,slateingress,slateingress@POST@/reservation,109
1,us-east-1,slateingress,slateingress@GET@/hotels,121
1,us-east-1,search,search@POST@/search.Search/Nearby,101
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,99
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,109
1,us-central-1,slateingress,slateingress@POST@/user,119
1,us-central-1,slateingress,slateingress@GET@/recommendations,112
1,us-central-1,slateingress,slateingress@GET@/hotels,96
1,us-central-1,slateingress,slateingress@POST@/reservation,113
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,112
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,115
1,us-central-1,frontend,frontend@GET@/recommendations,107
1,us-central-1,frontend,frontend@POST@/user,100
1,us-central-1,frontend,frontend@POST@/reservation,107
1,us-central-1,frontend,frontend@GET@/hotels,111
1,us-central-1,user,user@POST@/user.User/CheckUser,191
1,us-central-1,search,search@POST@/search.Search/Nearby,105
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,115
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,210
1,us-south-1,frontend,frontend@POST@/user,79
1,us-south-1,frontend,frontend@GET@/recommendations,70
1,us-south-1,frontend,frontend@POST@/reservation,63
1,us-south-1,frontend,frontend@GET@/hotels,25
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,30
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,78
1,us-south-1,slateingress,slateingress@GET@/recommendations,76
1,us-south-1,slateingress,slateingress@POST@/reservation,74
1,us-south-1,slateingress,slateingress@POST@/user,77
1,us-south-1,slateingress,slateingress@GET@/hotels,47
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,5
1,us-south-1,user,user@POST@/user.User/CheckUser,137
1,us-south-1,search,search@POST@/search.Search/Nearby,55
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,186
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,42
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,15
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,458
1,us-west-1,user,user@POST@/user.User/CheckUser,904
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,451
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,503
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,511
1,us-west-1,frontend,frontend@POST@/user,446
1,us-west-1,frontend,frontend@GET@/hotels,465
1,us-west-1,frontend,frontend@GET@/recommendations,469
1,us-west-1,frontend,frontend@POST@/reservation,461
1,us-west-1,slateingress,slateingress@POST@/user,437
1,us-west-1,slateingress,slateingress@POST@/reservation,428
1,us-west-1,slateingress,slateingress@GET@/recommendations,434
1,us-west-1,slateingress,slateingress@GET@/hotels,438
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,460
1,us-west-1,search,search@POST@/search.Search/Nearby,469
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,842
2,us-east-1,frontend,frontend@POST@/user,106
2,us-east-1,frontend,frontend@GET@/recommendations,113
2,us-east-1,frontend,frontend@POST@/reservation,111
2,us-east-1,frontend,frontend@GET@/hotels,102
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,107
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,216
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,106
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,106
2,us-east-1,user,user@POST@/user.User/CheckUser,204
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,101
2,us-east-1,slateingress,slateingress@POST@/user,105
2,us-east-1,slateingress,slateingress@GET@/recommendations,100
2,us-east-1,slateingress,slateingress@POST@/reservation,102
2,us-east-1,slateingress,slateingress@GET@/hotels,97
2,us-east-1,search,search@POST@/search.Search/Nearby,107
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,106
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,99
2,us-central-1,slateingress,slateingress@POST@/user,101
2,us-central-1,slateingress,slateingress@GET@/recommendations,107
2,us-central-1,slateingress,slateingress@GET@/hotels,103
2,us-central-1,slateingress,slateingress@POST@/reservation,97
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,106
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,104
2,us-central-1,frontend,frontend@GET@/recommendations,106
2,us-central-1,frontend,frontend@POST@/user,106
2,us-central-1,frontend,frontend@POST@/reservation,108
2,us-central-1,frontend,frontend@GET@/hotels,102
2,us-central-1,user,user@POST@/user.User/CheckUser,199
2,us-central-1,search,search@POST@/search.Search/Nearby,101
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,104
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,219
2,us-south-1,frontend,frontend@POST@/user,101
2,us-south-1,frontend,frontend@GET@/recommendations,102
2,us-south-1,frontend,frontend@POST@/reservation,100
2,us-south-1,frontend,frontend@GET@/hotels,113
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,109
2,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,103
2,us-south-1,slateingress,slateingress@GET@/recommendations,106
2,us-south-1,slateingress,slateingress@POST@/reservation,111
2,us-south-1,slateingress,slateingress@POST@/user,110
2,us-south-1,slateingress,slateingress@GET@/hotels,102
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,111
2,us-south-1,user,user@POST@/user.User/CheckUser,207
2,us-south-1,search,search@POST@/search.Search/Nearby,109
2,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,210
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,117
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,108
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,415
2,us-west-1,user,user@POST@/user.User/CheckUser,863
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,436
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,477
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,458
2,us-west-1,frontend,frontend@POST@/user,409
2,us-west-1,frontend,frontend@GET@/hotels,408
2,us-west-1,frontend,frontend@GET@/recommendations,390
2,us-west-1,frontend,frontend@POST@/reservation,413
2,us-west-1,slateingress,slateingress@POST@/user,401
2,us-west-1,slateingress,slateingress@POST@/reservation,435
