Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6c7c7db78-vhb94,consul,11,35
default,consul-6c7c7db78-vhb94,istio-proxy,3,94
default,frontend-us-central-1-68df555cd9-bbg6f,hotel-reserv-frontend,130,7
default,frontend-us-central-1-68df555cd9-bbg6f,istio-proxy,316,93
default,frontend-us-central-1-68df555cd9-nhfnc,hotel-reserv-frontend,159,8
default,frontend-us-central-1-68df555cd9-nhfnc,istio-proxy,307,95
default,frontend-us-east-1-7b87dbd99b-btttc,hotel-reserv-frontend,38,7
default,frontend-us-east-1-7b87dbd99b-btttc,istio-proxy,276,96
default,frontend-us-east-1-7b87dbd99b-xlclf,hotel-reserv-frontend,45,7
default,frontend-us-east-1-7b87dbd99b-xlclf,istio-proxy,214,94
default,frontend-us-south-1-7c964c8bbd-lx58x,hotel-reserv-frontend,100,8
default,frontend-us-south-1-7c964c8bbd-lx58x,istio-proxy,288,96
default,frontend-us-south-1-7c964c8bbd-rsf5q,hotel-reserv-frontend,64,7
default,frontend-us-south-1-7c964c8bbd-rsf5q,istio-proxy,434,93
default,frontend-us-west-1-664d455d8-5p5xc,hotel-reserv-frontend,296,15
default,frontend-us-west-1-664d455d8-5p5xc,istio-proxy,489,107
default,frontend-us-west-1-664d455d8-z6gc9,hotel-reserv-frontend,231,21
default,frontend-us-west-1-664d455d8-z6gc9,istio-proxy,1964,121
default,geo-us-central-1-7b75c74779-2sfb7,hotel-reserv-geo,12,8
default,geo-us-central-1-7b75c74779-2sfb7,istio-proxy,10,94
default,geo-us-central-1-7b75c74779-5ktzb,hotel-reserv-geo,20,7
default,geo-us-central-1-7b75c74779-5ktzb,istio-proxy,43,93
default,geo-us-east-1-78c8ff95c8-4tlf6,hotel-reserv-geo,16,8
default,geo-us-east-1-78c8ff95c8-4tlf6,istio-proxy,27,93
default,geo-us-east-1-78c8ff95c8-d5dfm,hotel-reserv-geo,22,8
default,geo-us-east-1-78c8ff95c8-d5dfm,istio-proxy,39,94
default,geo-us-south-1-6c8b74d6d-6g9zh,hotel-reserv-geo,11,7
default,geo-us-south-1-6c8b74d6d-6g9zh,istio-proxy,33,92
default,geo-us-south-1-6c8b74d6d-h8b2g,hotel-reserv-geo,19,8
default,geo-us-south-1-6c8b74d6d-h8b2g,istio-proxy,24,93
default,geo-us-west-1-557d47c8db-2dkh4,hotel-reserv-geo,38,8
default,geo-us-west-1-557d47c8db-2dkh4,istio-proxy,178,94
default,geo-us-west-1-557d47c8db-9rrwb,hotel-reserv-geo,41,8
default,geo-us-west-1-557d47c8db-9rrwb,istio-proxy,130,92
default,jaeger-5dcf6c5498-gxlz6,hotel-reserv-jaeger,169,117
default,jaeger-5dcf6c5498-gxlz6,istio-proxy,4,95
