Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6c7c7db78-vhb94,consul,10,34
default,consul-6c7c7db78-vhb94,istio-proxy,5,94
default,frontend-us-central-1-68df555cd9-bbg6f,hotel-reserv-frontend,0,4
default,frontend-us-central-1-68df555cd9-bbg6f,istio-proxy,5,92
default,frontend-us-central-1-68df555cd9-nhfnc,hotel-reserv-frontend,0,4
default,frontend-us-central-1-68df555cd9-nhfnc,istio-proxy,4,94
default,frontend-us-east-1-7b87dbd99b-btttc,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7b87dbd99b-btttc,istio-proxy,5,94
default,frontend-us-east-1-7b87dbd99b-xlclf,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7b87dbd99b-xlclf,istio-proxy,5,92
default,frontend-us-south-1-7c964c8bbd-lx58x,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7c964c8bbd-lx58x,istio-proxy,5,94
default,frontend-us-south-1-7c964c8bbd-rsf5q,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7c964c8bbd-rsf5q,istio-proxy,4,91
default,frontend-us-west-1-664d455d8-5p5xc,hotel-reserv-frontend,0,4
default,frontend-us-west-1-664d455d8-5p5xc,istio-proxy,6,92
default,frontend-us-west-1-664d455d8-z6gc9,hotel-reserv-frontend,0,16
default,frontend-us-west-1-664d455d8-z6gc9,istio-proxy,3,120
default,geo-us-central-1-7b75c74779-2sfb7,hotel-reserv-geo,0,10
default,geo-us-central-1-7b75c74779-2sfb7,istio-proxy,6,93
default,geo-us-central-1-7b75c74779-5ktzb,hotel-reserv-geo,0,6
default,geo-us-central-1-7b75c74779-5ktzb,istio-proxy,5,92
default,geo-us-east-1-78c8ff95c8-4tlf6,hotel-reserv-geo,0,10
default,geo-us-east-1-78c8ff95c8-4tlf6,istio-proxy,4,93
default,geo-us-east-1-78c8ff95c8-d5dfm,hotel-reserv-geo,0,10
default,geo-us-east-1-78c8ff95c8-d5dfm,istio-proxy,5,93
default,geo-us-south-1-6c8b74d6d-6g9zh,hotel-reserv-geo,0,6
default,geo-us-south-1-6c8b74d6d-6g9zh,istio-proxy,5,91
default,geo-us-south-1-6c8b74d6d-h8b2g,hotel-reserv-geo,0,7
default,geo-us-south-1-6c8b74d6d-h8b2g,istio-proxy,5,92
default,geo-us-west-1-557d47c8db-2dkh4,hotel-reserv-geo,0,6
default,geo-us-west-1-557d47c8db-2dkh4,istio-proxy,4,93
default,geo-us-west-1-557d47c8db-9rrwb,hotel-reserv-geo,0,6
default,geo-us-west-1-557d47c8db-9rrwb,istio-proxy,5,92
default,jaeger-5dcf6c5498-gxlz6,hotel-reserv-jaeger,0,11
default,jaeger-5dcf6c5498-gxlz6,istio-proxy,4,95
default,memcached-profile-us-central-1-6f67fb87f-5xm4r,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f67fb87f-5xm4r,istio-proxy,4,91
default,memcached-profile-us-central-1-6f67fb87f-g4ksh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f67fb87f-g4ksh,istio-proxy,4,92
default,memcached-profile-us-east-1-8688868f55-hlbzg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-8688868f55-hlbzg,istio-proxy,4,94
default,memcached-profile-us-east-1-8688868f55-spdhw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-8688868f55-spdhw,istio-proxy,6,90
default,memcached-profile-us-south-1-79bd5bc8fd-nt2tx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-79bd5bc8fd-nt2tx,istio-proxy,3,94
default,memcached-profile-us-south-1-79bd5bc8fd-pxvph,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-79bd5bc8fd-pxvph,istio-proxy,4,94
default,memcached-profile-us-west-1-6486c95896-8qh9z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6486c95896-8qh9z,istio-proxy,4,93
default,memcached-profile-us-west-1-6486c95896-wlb2j,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6486c95896-wlb2j,istio-proxy,6,92
default,memcached-rate-us-central-1-6d9d764c68-9x8vg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6d9d764c68-9x8vg,istio-proxy,6,91
default,memcached-rate-us-central-1-6d9d764c68-j8zwl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6d9d764c68-j8zwl,istio-proxy,3,91
default,memcached-rate-us-east-1-78db6bcd44-9f67c,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-78db6bcd44-9f67c,istio-proxy,8,92
default,memcached-rate-us-east-1-78db6bcd44-bhcdg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-78db6bcd44-bhcdg,istio-proxy,8,91
default,memcached-rate-us-south-1-7bd9fc7c48-2bvl9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7bd9fc7c48-2bvl9,istio-proxy,6,90
default,memcached-rate-us-south-1-7bd9fc7c48-zt9zv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7bd9fc7c48-zt9zv,istio-proxy,6,92
default,memcached-rate-us-west-1-65495779cf-2g8cq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-65495779cf-2g8cq,istio-proxy,5,90
default,memcached-rate-us-west-1-65495779cf-bhfmm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-65495779cf-bhfmm,istio-proxy,5,92
default,memcached-reserve-us-central-1-786c7d9665-pqs82,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-786c7d9665-pqs82,istio-proxy,6,92
default,memcached-reserve-us-central-1-786c7d9665-qcvfk,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-786c7d9665-qcvfk,istio-proxy,6,91
default,memcached-reserve-us-east-1-6dd5556c75-799cq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6dd5556c75-799cq,istio-proxy,6,92
default,memcached-reserve-us-east-1-6dd5556c75-8kwhc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6dd5556c75-8kwhc,istio-proxy,4,94
default,memcached-reserve-us-south-1-6f77f65f45-n7wdq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6f77f65f45-n7wdq,istio-proxy,6,91
default,memcached-reserve-us-south-1-6f77f65f45-vrk5w,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6f77f65f45-vrk5w,istio-proxy,5,90
default,memcached-reserve-us-west-1-7c59c7fd55-2hvbm,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7c59c7fd55-2hvbm,istio-proxy,5,93
default,memcached-reserve-us-west-1-7c59c7fd55-jzttn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7c59c7fd55-jzttn,istio-proxy,5,91
default,mongodb-geo-us-central-1-846f44ccf8-8czgd,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-846f44ccf8-8czgd,istio-proxy,4,90
default,mongodb-geo-us-east-1-69976dbcbb-nrvrz,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-69976dbcbb-nrvrz,istio-proxy,4,90
default,mongodb-geo-us-south-1-7cb5b96bdb-2hhk8,hotel-reserv-geo-mongo,3,158
default,mongodb-geo-us-south-1-7cb5b96bdb-2hhk8,istio-proxy,5,93
default,mongodb-geo-us-west-1-cd6b698f4-z228f,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-west-1-cd6b698f4-z228f,istio-proxy,5,91
default,mongodb-profile-us-central-1-75f7d4949c-4rxkg,hotel-reserv-profile-mongo,3,162
default,mongodb-profile-us-central-1-75f7d4949c-4rxkg,istio-proxy,5,93
default,mongodb-profile-us-east-1-666c8f8b79-68mt8,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-east-1-666c8f8b79-68mt8,istio-proxy,5,91
default,mongodb-profile-us-south-1-69c45b79df-rfthp,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-south-1-69c45b79df-rfthp,istio-proxy,5,93
default,mongodb-profile-us-west-1-5bdb858f6c-wz5zh,hotel-reserv-profile-mongo,4,161
default,mongodb-profile-us-west-1-5bdb858f6c-wz5zh,istio-proxy,24,92
default,mongodb-rate-us-central-1-67c69d6c65-4md2m,hotel-reserv-rate-mongo,3,158
default,mongodb-rate-us-central-1-67c69d6c65-4md2m,istio-proxy,4,92
default,mongodb-rate-us-east-1-6b77795d6f-pbct8,hotel-reserv-rate-mongo,4,161
default,mongodb-rate-us-east-1-6b77795d6f-pbct8,istio-proxy,5,92
default,mongodb-rate-us-south-1-58d96bb769-87q7z,hotel-reserv-rate-mongo,3,160
default,mongodb-rate-us-south-1-58d96bb769-87q7z,istio-proxy,5,91
default,mongodb-rate-us-west-1-699745c4fc-6wshl,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-west-1-699745c4fc-6wshl,istio-proxy,4,94
default,mongodb-recommendation-us-central-1-7cd7bd7bc5-kccng,hotel-reserv-recommendation-mongo,3,162
default,mongodb-recommendation-us-central-1-7cd7bd7bc5-kccng,istio-proxy,4,91
default,mongodb-recommendation-us-east-1-6c5d5c6db9-cb2gd,hotel-reserv-recommendation-mongo,4,162
default,mongodb-recommendation-us-east-1-6c5d5c6db9-cb2gd,istio-proxy,3,92
default,mongodb-recommendation-us-south-1-5f64667787-48527,hotel-reserv-recommendation-mongo,5,165
default,mongodb-recommendation-us-south-1-5f64667787-48527,istio-proxy,4,91
default,mongodb-recommendation-us-west-1-658ccb6594-9vz5f,hotel-reserv-recommendation-mongo,4,167
default,mongodb-recommendation-us-west-1-658ccb6594-9vz5f,istio-proxy,5,92
default,mongodb-reservation-us-central-1-86bbb79596-fj84n,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-central-1-86bbb79596-fj84n,istio-proxy,5,90
default,mongodb-reservation-us-east-1-596c586956-rjwfc,hotel-reserv-reservation-mongo,3,159
default,mongodb-reservation-us-east-1-596c586956-rjwfc,istio-proxy,4,94
default,mongodb-reservation-us-south-1-5b784b6c48-xvn9v,hotel-reserv-reservation-mongo,3,158
default,mongodb-reservation-us-south-1-5b784b6c48-xvn9v,istio-proxy,5,92
