Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6bc65d97c-q74jj,consul,14,36
default,consul-6bc65d97c-q74jj,istio-proxy,3,94
default,frontend-us-central-1-7b5794dc6f-9dlfb,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7b5794dc6f-9dlfb,istio-proxy,108,93
default,frontend-us-central-1-7b5794dc6f-st2ff,hotel-reserv-frontend,155,8
default,frontend-us-central-1-7b5794dc6f-st2ff,istio-proxy,494,95
default,frontend-us-east-1-6d79c9b695-qnzw5,hotel-reserv-frontend,207,8
default,frontend-us-east-1-6d79c9b695-qnzw5,istio-proxy,142,93
default,frontend-us-east-1-6d79c9b695-r545p,hotel-reserv-frontend,157,7
default,frontend-us-east-1-6d79c9b695-r545p,istio-proxy,444,96
default,frontend-us-south-1-66f5779649-55dnp,hotel-reserv-frontend,81,8
default,frontend-us-south-1-66f5779649-55dnp,istio-proxy,515,95
default,frontend-us-south-1-66f5779649-bfthj,hotel-reserv-frontend,161,8
default,frontend-us-south-1-66f5779649-bfthj,istio-proxy,69,96
default,frontend-us-west-1-b4b66fdc5-frt22,hotel-reserv-frontend,291,34
default,frontend-us-west-1-b4b66fdc5-frt22,istio-proxy,1428,145
default,frontend-us-west-1-b4b66fdc5-ghmgs,hotel-reserv-frontend,301,28
default,frontend-us-west-1-b4b66fdc5-ghmgs,istio-proxy,1576,142
default,geo-us-central-1-6f858659-4dzvl,hotel-reserv-geo,18,8
default,geo-us-central-1-6f858659-4dzvl,istio-proxy,53,92
default,geo-us-central-1-6f858659-s6k5m,hotel-reserv-geo,7,7
default,geo-us-central-1-6f858659-s6k5m,istio-proxy,66,92
default,geo-us-east-1-6c5fd476d7-jqhf4,hotel-reserv-geo,20,7
default,geo-us-east-1-6c5fd476d7-jqhf4,istio-proxy,25,91
default,geo-us-east-1-6c5fd476d7-qx9q2,hotel-reserv-geo,29,8
default,geo-us-east-1-6c5fd476d7-qx9q2,istio-proxy,5,92
default,geo-us-south-1-776f5c75d4-l88tb,hotel-reserv-geo,0,6
default,geo-us-south-1-776f5c75d4-l88tb,istio-proxy,47,94
default,geo-us-south-1-776f5c75d4-nq5hc,hotel-reserv-geo,6,7
default,geo-us-south-1-776f5c75d4-nq5hc,istio-proxy,61,93
default,geo-us-west-1-5f65579ccd-8rrjn,hotel-reserv-geo,60,9
default,geo-us-west-1-5f65579ccd-8rrjn,istio-proxy,68,93
default,geo-us-west-1-5f65579ccd-jh7px,hotel-reserv-geo,66,10
default,geo-us-west-1-5f65579ccd-jh7px,istio-proxy,107,93
default,jaeger-767f858d7d-pdlnj,hotel-reserv-jaeger,109,85
default,jaeger-767f858d7d-pdlnj,istio-proxy,4,95
default,memcached-profile-us-central-1-55cb88d595-7pjfb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55cb88d595-7pjfb,istio-proxy,4,93
default,memcached-profile-us-central-1-55cb88d595-s8xhn,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55cb88d595-s8xhn,istio-proxy,4,92
default,memcached-profile-us-east-1-587b948b99-4tllw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-587b948b99-4tllw,istio-proxy,4,93
default,memcached-profile-us-east-1-587b948b99-5s8fk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-587b948b99-5s8fk,istio-proxy,4,92
default,memcached-profile-us-south-1-59964494c6-52mrf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59964494c6-52mrf,istio-proxy,4,92
default,memcached-profile-us-south-1-59964494c6-rshgt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59964494c6-rshgt,istio-proxy,4,91
default,memcached-profile-us-west-1-559ddf4cf8-hkfpk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-559ddf4cf8-hkfpk,istio-proxy,4,90
default,memcached-profile-us-west-1-559ddf4cf8-tmqdl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-559ddf4cf8-tmqdl,istio-proxy,5,91
default,memcached-rate-us-central-1-74b84544f7-lkjlz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-74b84544f7-lkjlz,istio-proxy,4,93
default,memcached-rate-us-central-1-74b84544f7-sjgfl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-74b84544f7-sjgfl,istio-proxy,4,92
default,memcached-rate-us-east-1-857fd4d99f-h9w2b,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-857fd4d99f-h9w2b,istio-proxy,4,94
default,memcached-rate-us-east-1-857fd4d99f-kbjjj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-857fd4d99f-kbjjj,istio-proxy,4,95
default,memcached-rate-us-south-1-5579d96ff6-b8kq8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5579d96ff6-b8kq8,istio-proxy,4,90
default,memcached-rate-us-south-1-5579d96ff6-kj72v,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5579d96ff6-kj72v,istio-proxy,4,93
default,memcached-rate-us-west-1-55cc5789fb-kq2vp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-55cc5789fb-kq2vp,istio-proxy,4,93
default,memcached-rate-us-west-1-55cc5789fb-zpnjc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-55cc5789fb-zpnjc,istio-proxy,4,90
default,memcached-reserve-us-central-1-66dd8cb6bc-wl7m8,hotel-reserv-reservation-mmc,0,1
