counter,region,service,endpoint,rps
1,us-south-1,slateingress,slateingress@POST@/user,111
1,us-south-1,slateingress,slateingress@GET@/recommendations,102
1,us-south-1,slateingress,slateingress@POST@/reservation,110
1,us-south-1,slateingress,slateingress@GET@/hotels,94
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,162
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,99
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,81
1,us-south-1,frontend,frontend@POST@/user,114
1,us-south-1,frontend,frontend@GET@/recommendations,111
1,us-south-1,frontend,frontend@POST@/reservation,101
1,us-south-1,frontend,frontend@GET@/hotels,83
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,64
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,86
1,us-south-1,search,search@POST@/search.Search/Nearby,83
1,us-south-1,user,user@POST@/user.User/CheckUser,203
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,110
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,103
1,us-east-1,frontend,frontend@POST@/user,103
1,us-east-1,frontend,frontend@GET@/recommendations,99
1,us-east-1,frontend,frontend@POST@/reservation,105
1,us-east-1,frontend,frontend@GET@/hotels,111
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,105
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,218
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,108
1,us-east-1,slateingress,slateingress@POST@/user,103
1,us-east-1,slateingress,slateingress@GET@/recommendations,103
1,us-east-1,slateingress,slateingress@POST@/reservation,107
1,us-east-1,slateingress,slateingress@GET@/hotels,104
1,us-east-1,user,user@POST@/user.User/CheckUser,213
1,us-east-1,search,search@POST@/search.Search/Nearby,110
1,us-west-1,slateingress,slateingress@POST@/user,488
1,us-west-1,slateingress,slateingress@GET@/recommendations,497
1,us-west-1,slateingress,slateingress@POST@/reservation,477
1,us-west-1,slateingress,slateingress@GET@/hotels,467
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,430
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,511
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,494
1,us-west-1,frontend,frontend@POST@/user,460
1,us-west-1,frontend,frontend@GET@/recommendations,484
1,us-west-1,frontend,frontend@POST@/reservation,452
1,us-west-1,frontend,frontend@GET@/hotels,459
1,us-west-1,user,user@POST@/user.User/CheckUser,861
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,935
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,452
1,us-west-1,search,search@POST@/search.Search/Nearby,475
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,446
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,221
1,us-central-1,slateingress,slateingress@POST@/user,109
1,us-central-1,slateingress,slateingress@POST@/reservation,105
1,us-central-1,slateingress,slateingress@GET@/recommendations,110
1,us-central-1,slateingress,slateingress@GET@/hotels,112
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,115
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,106
1,us-central-1,frontend,frontend@GET@/hotels,108
1,us-central-1,frontend,frontend@POST@/user,115
1,us-central-1,frontend,frontend@GET@/recommendations,104
1,us-central-1,frontend,frontend@POST@/reservation,97
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,110
1,us-central-1,search,search@POST@/search.Search/Nearby,118
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,120
1,us-central-1,user,user@POST@/user.User/CheckUser,215
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,111
2,us-south-1,slateingress,slateingress@POST@/user,105
2,us-south-1,slateingress,slateingress@GET@/recommendations,108
2,us-south-1,slateingress,slateingress@POST@/reservation,106
2,us-south-1,slateingress,slateingress@GET@/hotels,114
2,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,214
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,102
2,us-south-1,frontend,frontend@POST@/user,104
2,us-south-1,frontend,frontend@GET@/recommendations,103
2,us-south-1,frontend,frontend@POST@/reservation,113
2,us-south-1,frontend,frontend@GET@/hotels,105
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,113
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,107
2,us-south-1,search,search@POST@/search.Search/Nearby,109
2,us-south-1,user,user@POST@/user.User/CheckUser,200
2,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,102
2,us-east-1,frontend,frontend@POST@/user,106
2,us-east-1,frontend,frontend@GET@/recommendations,109
2,us-east-1,frontend,frontend@POST@/reservation,103
2,us-east-1,frontend,frontend@GET@/hotels,105
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,101
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,102
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,109
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,211
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,100
2,us-east-1,slateingress,slateingress@POST@/user,101
2,us-east-1,slateingress,slateingress@GET@/recommendations,99
2,us-east-1,slateingress,slateingress@POST@/reservation,105
2,us-east-1,slateingress,slateingress@GET@/hotels,111
2,us-east-1,user,user@POST@/user.User/CheckUser,209
2,us-east-1,search,search@POST@/search.Search/Nearby,111
2,us-west-1,slateingress,slateingress@POST@/user,509
2,us-west-1,slateingress,slateingress@GET@/recommendations,532
2,us-west-1,slateingress,slateingress@POST@/reservation,485
2,us-west-1,slateingress,slateingress@GET@/hotels,465
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,443
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,493
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,469
2,us-west-1,frontend,frontend@POST@/user,557
2,us-west-1,frontend,frontend@GET@/recommendations,556
2,us-west-1,frontend,frontend@POST@/reservation,501
2,us-west-1,frontend,frontend@GET@/hotels,471
2,us-west-1,user,user@POST@/user.User/CheckUser,1080
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,1123
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,574
2,us-west-1,search,search@POST@/search.Search/Nearby,504
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,483
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,217
2,us-central-1,slateingress,slateingress@POST@/user,105
2,us-central-1,slateingress,slateingress@POST@/reservation,109
2,us-central-1,slateingress,slateingress@GET@/recommendations,109
2,us-central-1,slateingress,slateingress@GET@/hotels,111
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,109
2,us-central-1,frontend,frontend@GET@/hotels,111
2,us-central-1,frontend,frontend@POST@/user,88
2,us-central-1,frontend,frontend@GET@/recommendations,111
2,us-central-1,frontend,frontend@POST@/reservation,113
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,107
2,us-central-1,search,search@POST@/search.Search/Nearby,101
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,99
2,us-central-1,user,user@POST@/user.User/CheckUser,203
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,101
3,us-south-1,slateingress,slateingress@POST@/user,94
3,us-south-1,slateingress,slateingress@GET@/recommendations,102
3,us-south-1,slateingress,slateingress@POST@/reservation,98
3,us-south-1,slateingress,slateingress@GET@/hotels,108
3,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,207
3,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,103
3,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,108
3,us-south-1,frontend,frontend@POST@/user,104
3,us-south-1,frontend,frontend@GET@/recommendations,108
3,us-south-1,frontend,frontend@POST@/reservation,100
3,us-south-1,frontend,frontend@GET@/hotels,109
3,us-south-1,geo,geo@POST@/geo.Geo/Nearby,103
3,us-south-1,rate,rate@POST@/rate.Rate/GetRates,97
3,us-south-1,search,search@POST@/search.Search/Nearby,98
3,us-south-1,user,user@POST@/user.User/CheckUser,216
3,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,98
3,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,120
3,us-east-1,frontend,frontend@POST@/user,105
3,us-east-1,frontend,frontend@GET@/recommendations,108
3,us-east-1,frontend,frontend@POST@/reservation,113
3,us-east-1,frontend,frontend@GET@/hotels,101
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,116
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
3,us-east-1,geo,geo@POST@/geo.Geo/Nearby,105
3,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,199
3,us-east-1,rate,rate@POST@/rate.Rate/GetRates,110
3,us-east-1,slateingress,slateingress@POST@/user,117
3,us-east-1,slateingress,slateingress@GET@/recommendations,115
3,us-east-1,slateingress,slateingress@POST@/reservation,115
3,us-east-1,slateingress,slateingress@GET@/hotels,102
3,us-east-1,user,user@POST@/user.User/CheckUser,213
3,us-east-1,search,search@POST@/search.Search/Nearby,96
3,us-west-1,slateingress,slateingress@POST@/user,478
3,us-west-1,slateingress,slateingress@GET@/recommendations,562
3,us-west-1,slateingress,slateingress@POST@/reservation,482
3,us-west-1,slateingress,slateingress@GET@/hotels,438
3,us-west-1,rate,rate@POST@/rate.Rate/GetRates,526
3,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,494
3,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,524
3,us-west-1,frontend,frontend@POST@/user,537
3,us-west-1,frontend,frontend@GET@/recommendations,563
3,us-west-1,frontend,frontend@POST@/reservation,500
3,us-west-1,frontend,frontend@GET@/hotels,518
3,us-west-1,user,user@POST@/user.User/CheckUser,1293
3,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,1000
3,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,638
3,us-west-1,search,search@POST@/search.Search/Nearby,585
3,us-west-1,geo,geo@POST@/geo.Geo/Nearby,542
3,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,192
3,us-central-1,slateingress,slateingress@POST@/user,103
3,us-central-1,slateingress,slateingress@POST@/reservation,99
3,us-central-1,slateingress,slateingress@GET@/recommendations,96
3,us-central-1,slateingress,slateingress@GET@/hotels,99
3,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,100
3,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,98
3,us-central-1,frontend,frontend@GET@/hotels,98
3,us-central-1,frontend,frontend@POST@/user,114
3,us-central-1,frontend,frontend@GET@/recommendations,99
3,us-central-1,frontend,frontend@POST@/reservation,103
3,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,102
3,us-central-1,search,search@POST@/search.Search/Nearby,108
3,us-central-1,geo,geo@POST@/geo.Geo/Nearby,101
3,us-central-1,user,user@POST@/user.User/CheckUser,216
3,us-central-1,rate,rate@POST@/rate.Rate/GetRates,105
4,us-south-1,slateingress,slateingress@POST@/user,119
4,us-south-1,slateingress,slateingress@GET@/recommendations,114
4,us-south-1,slateingress,slateingress@POST@/reservation,117
4,us-south-1,slateingress,slateingress@GET@/hotels,98
4,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,208
4,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,106
4,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,104
4,us-south-1,frontend,frontend@POST@/user,108
4,us-south-1,frontend,frontend@GET@/recommendations,107
4,us-south-1,frontend,frontend@POST@/reservation,104
4,us-south-1,frontend,frontend@GET@/hotels,103
4,us-south-1,geo,geo@POST@/geo.Geo/Nearby,104
4,us-south-1,rate,rate@POST@/rate.Rate/GetRates,114
4,us-south-1,search,search@POST@/search.Search/Nearby,105
4,us-south-1,user,user@POST@/user.User/CheckUser,207
