Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-57f64cc5f6-fg8k4,consul,10,34
default,consul-57f64cc5f6-fg8k4,istio-proxy,4,95
default,frontend-us-central-1-cd48c8bff-ppcb4,hotel-reserv-frontend,0,11
default,frontend-us-central-1-cd48c8bff-ppcb4,istio-proxy,3,106
default,frontend-us-central-1-cd48c8bff-xhgdd,hotel-reserv-frontend,0,4
default,frontend-us-central-1-cd48c8bff-xhgdd,istio-proxy,3,93
default,frontend-us-east-1-74cd757dd5-grwwg,hotel-reserv-frontend,0,4
default,frontend-us-east-1-74cd757dd5-grwwg,istio-proxy,4,93
default,frontend-us-east-1-74cd757dd5-s2cg5,hotel-reserv-frontend,6,7
default,frontend-us-east-1-74cd757dd5-s2cg5,istio-proxy,3,90
default,frontend-us-south-1-6997958d95-rstjm,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6997958d95-rstjm,istio-proxy,3,93
default,frontend-us-south-1-6997958d95-xvgfq,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6997958d95-xvgfq,istio-proxy,4,91
default,frontend-us-west-1-5d69c8b749-hcsd9,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5d69c8b749-hcsd9,istio-proxy,3,93
default,frontend-us-west-1-5d69c8b749-wsp2x,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5d69c8b749-wsp2x,istio-proxy,3,91
default,geo-us-central-1-54f6476f88-59nvm,hotel-reserv-geo,0,6
default,geo-us-central-1-54f6476f88-59nvm,istio-proxy,4,92
default,geo-us-central-1-54f6476f88-fh5s9,hotel-reserv-geo,1,11
default,geo-us-central-1-54f6476f88-fh5s9,istio-proxy,8,92
default,geo-us-east-1-7465d6c6c8-f42gg,hotel-reserv-geo,0,6
default,geo-us-east-1-7465d6c6c8-f42gg,istio-proxy,10,95
default,geo-us-east-1-7465d6c6c8-snznk,hotel-reserv-geo,0,6
default,geo-us-east-1-7465d6c6c8-snznk,istio-proxy,4,92
default,geo-us-south-1-7448b76cf6-cx8hf,hotel-reserv-geo,0,6
default,geo-us-south-1-7448b76cf6-cx8hf,istio-proxy,4,91
default,geo-us-south-1-7448b76cf6-sg2xw,hotel-reserv-geo,0,6
default,geo-us-south-1-7448b76cf6-sg2xw,istio-proxy,8,91
default,geo-us-west-1-74f449c774-dzskg,hotel-reserv-geo,0,6
default,geo-us-west-1-74f449c774-dzskg,istio-proxy,4,89
default,geo-us-west-1-74f449c774-z4zcq,hotel-reserv-geo,0,6
default,geo-us-west-1-74f449c774-z4zcq,istio-proxy,3,92
default,jaeger-86577b45d6-fpmck,hotel-reserv-jaeger,0,12
default,jaeger-86577b45d6-fpmck,istio-proxy,3,94
default,memcached-profile-us-central-1-697849b679-fvfkx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-697849b679-fvfkx,istio-proxy,3,91
default,memcached-profile-us-central-1-697849b679-wqffg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-697849b679-wqffg,istio-proxy,3,91
default,memcached-profile-us-east-1-7ff85cf599-djllp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7ff85cf599-djllp,istio-proxy,4,91
default,memcached-profile-us-east-1-7ff85cf599-tfpgw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7ff85cf599-tfpgw,istio-proxy,3,92
default,memcached-profile-us-south-1-67fb576fcf-2glnl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-67fb576fcf-2glnl,istio-proxy,4,93
default,memcached-profile-us-south-1-67fb576fcf-7wsl5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-67fb576fcf-7wsl5,istio-proxy,3,92
default,memcached-profile-us-west-1-84948dd67-nvzhc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-84948dd67-nvzhc,istio-proxy,4,94
default,memcached-profile-us-west-1-84948dd67-qc6lc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-84948dd67-qc6lc,istio-proxy,3,93
default,memcached-rate-us-central-1-85d4f8cbc-kcxkg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-85d4f8cbc-kcxkg,istio-proxy,3,91
default,memcached-rate-us-central-1-85d4f8cbc-v8d4w,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-85d4f8cbc-v8d4w,istio-proxy,3,91
default,memcached-rate-us-east-1-695d6d8949-5vg4g,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-695d6d8949-5vg4g,istio-proxy,4,91
default,memcached-rate-us-east-1-695d6d8949-l8wgz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-695d6d8949-l8wgz,istio-proxy,4,93
default,memcached-rate-us-south-1-675899cddc-g8589,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-675899cddc-g8589,istio-proxy,5,91
default,memcached-rate-us-south-1-675899cddc-z58fk,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-675899cddc-z58fk,istio-proxy,3,91
default,memcached-rate-us-west-1-79dff66b7c-729xd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-79dff66b7c-729xd,istio-proxy,4,92
default,memcached-rate-us-west-1-79dff66b7c-vcd4s,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-79dff66b7c-vcd4s,istio-proxy,3,91
default,memcached-reserve-us-central-1-5f8f44c5dc-4xjcv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5f8f44c5dc-4xjcv,istio-proxy,4,92
default,memcached-reserve-us-central-1-5f8f44c5dc-qm6tp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5f8f44c5dc-qm6tp,istio-proxy,3,92
default,memcached-reserve-us-east-1-dff6bdbfc-ggrwm,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-dff6bdbfc-ggrwm,istio-proxy,3,92
default,memcached-reserve-us-east-1-dff6bdbfc-nrcbg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-dff6bdbfc-nrcbg,istio-proxy,4,93
default,memcached-reserve-us-south-1-68d6c558dc-66ms9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-68d6c558dc-66ms9,istio-proxy,4,94
default,memcached-reserve-us-south-1-68d6c558dc-8dr9l,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-68d6c558dc-8dr9l,istio-proxy,4,91
default,memcached-reserve-us-west-1-7786cbf9f7-65n9t,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7786cbf9f7-65n9t,istio-proxy,4,91
default,memcached-reserve-us-west-1-7786cbf9f7-h4z9n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7786cbf9f7-h4z9n,istio-proxy,3,93
default,mongodb-geo-us-central-1-5d77bb9cf8-j47x5,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-5d77bb9cf8-j47x5,istio-proxy,4,91
default,mongodb-geo-us-east-1-5cf69cd9f8-r7wfs,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-5cf69cd9f8-r7wfs,istio-proxy,5,94
