counter,region,service,endpoint,rps
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,611
1,us-west-1,search,search@POST@/search.Search/Nearby,736
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,157
1,us-west-1,user,user@POST@/user.User/CheckUser,647
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,659
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,690
1,us-west-1,frontend,frontend@GET@/recommendations,199
1,us-west-1,frontend,frontend@GET@/hotels,701
1,us-west-1,frontend,frontend@POST@/user,217
1,us-west-1,frontend,frontend@POST@/reservation,450
1,us-west-1,slateingress,slateingress@POST@/user,187
1,us-west-1,slateingress,slateingress@GET@/recommendations,182
1,us-west-1,slateingress,slateingress@GET@/hotels,674
1,us-west-1,slateingress,slateingress@POST@/reservation,449
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,534
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,634
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,80
1,us-central-1,user,user@POST@/user.User/CheckUser,194
1,us-central-1,frontend,frontend@POST@/user,101
1,us-central-1,frontend,frontend@POST@/reservation,104
1,us-central-1,frontend,frontend@GET@/hotels,84
1,us-central-1,frontend,frontend@GET@/recommendations,105
1,us-central-1,slateingress,slateingress@GET@/recommendations,111
1,us-central-1,slateingress,slateingress@POST@/user,110
1,us-central-1,slateingress,slateingress@POST@/reservation,108
1,us-central-1,slateingress,slateingress@GET@/hotels,112
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,199
1,us-central-1,search,search@POST@/search.Search/Nearby,119
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,112
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,116
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,109
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,107
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,212
1,us-east-1,search,search@POST@/search.Search/Nearby,105
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,112
1,us-east-1,slateingress,slateingress@POST@/user,113
1,us-east-1,slateingress,slateingress@POST@/reservation,105
1,us-east-1,slateingress,slateingress@GET@/recommendations,100
1,us-east-1,slateingress,slateingress@GET@/hotels,111
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,98
1,us-east-1,user,user@POST@/user.User/CheckUser,232
1,us-east-1,frontend,frontend@POST@/user,100
1,us-east-1,frontend,frontend@GET@/recommendations,104
1,us-east-1,frontend,frontend@POST@/reservation,110
1,us-east-1,frontend,frontend@GET@/hotels,117
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,103
1,us-south-1,frontend,frontend@POST@/user,60
1,us-south-1,frontend,frontend@POST@/reservation,39
1,us-south-1,frontend,frontend@GET@/recommendations,45
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,64
1,us-south-1,slateingress,slateingress@POST@/user,96
