Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7ccdffdf8b-m59bq,consul,12,36
default,consul-7ccdffdf8b-m59bq,istio-proxy,3,93
default,frontend-us-central-1-7975756c6f-jm7g5,hotel-reserv-frontend,299,8
default,frontend-us-central-1-7975756c6f-jm7g5,istio-proxy,509,94
default,frontend-us-central-1-7975756c6f-tpqmf,hotel-reserv-frontend,271,8
default,frontend-us-central-1-7975756c6f-tpqmf,istio-proxy,773,95
default,frontend-us-east-1-cc85cb659-4sh66,hotel-reserv-frontend,275,8
default,frontend-us-east-1-cc85cb659-4sh66,istio-proxy,634,93
default,frontend-us-east-1-cc85cb659-9lc8x,hotel-reserv-frontend,225,8
default,frontend-us-east-1-cc85cb659-9lc8x,istio-proxy,698,96
default,frontend-us-south-1-588879d465-j7cw7,hotel-reserv-frontend,233,15
default,frontend-us-south-1-588879d465-j7cw7,istio-proxy,611,113
default,frontend-us-south-1-588879d465-vljf9,hotel-reserv-frontend,196,15
default,frontend-us-south-1-588879d465-vljf9,istio-proxy,462,113
default,frontend-us-west-1-754bdf97dd-4mh6c,hotel-reserv-frontend,554,25
default,frontend-us-west-1-754bdf97dd-4mh6c,istio-proxy,1700,136
default,frontend-us-west-1-754bdf97dd-hbgkr,hotel-reserv-frontend,563,24
default,frontend-us-west-1-754bdf97dd-hbgkr,istio-proxy,1602,135
default,geo-us-central-1-6cffcdf85f-hbllr,hotel-reserv-geo,71,8
default,geo-us-central-1-6cffcdf85f-hbllr,istio-proxy,92,95
default,geo-us-central-1-6cffcdf85f-xkdvv,hotel-reserv-geo,28,8
default,geo-us-central-1-6cffcdf85f-xkdvv,istio-proxy,79,92
default,geo-us-east-1-6487c57cc9-j4fwm,hotel-reserv-geo,58,8
default,geo-us-east-1-6487c57cc9-j4fwm,istio-proxy,79,93
default,geo-us-east-1-6487c57cc9-jqdt8,hotel-reserv-geo,25,8
default,geo-us-east-1-6487c57cc9-jqdt8,istio-proxy,74,94
default,geo-us-south-1-68c85f647f-68wkq,hotel-reserv-geo,55,10
default,geo-us-south-1-68c85f647f-68wkq,istio-proxy,107,95
default,geo-us-south-1-68c85f647f-hthb9,hotel-reserv-geo,84,10
default,geo-us-south-1-68c85f647f-hthb9,istio-proxy,117,93
default,geo-us-west-1-8577b4d45f-fjtwm,hotel-reserv-geo,80,11
default,geo-us-west-1-8577b4d45f-fjtwm,istio-proxy,136,92
default,geo-us-west-1-8577b4d45f-hfpzs,hotel-reserv-geo,88,11
default,geo-us-west-1-8577b4d45f-hfpzs,istio-proxy,229,93
default,jaeger-64f8df7ccd-chs8n,hotel-reserv-jaeger,282,132
default,jaeger-64f8df7ccd-chs8n,istio-proxy,4,94
default,memcached-profile-us-central-1-dff8c5447-b86pb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-dff8c5447-b86pb,istio-proxy,4,91
default,memcached-profile-us-central-1-dff8c5447-qz5zp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-dff8c5447-qz5zp,istio-proxy,4,92
default,memcached-profile-us-east-1-689dc98c75-dbtf4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-689dc98c75-dbtf4,istio-proxy,4,92
default,memcached-profile-us-east-1-689dc98c75-qx9gd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-689dc98c75-qx9gd,istio-proxy,4,93
default,memcached-profile-us-south-1-85fb55bc7f-dgvxd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-85fb55bc7f-dgvxd,istio-proxy,4,92
default,memcached-profile-us-south-1-85fb55bc7f-f6lt9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-85fb55bc7f-f6lt9,istio-proxy,4,92
default,memcached-profile-us-west-1-8b97f4f84-8c7wl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-8b97f4f84-8c7wl,istio-proxy,5,91
default,memcached-profile-us-west-1-8b97f4f84-rmbcp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-8b97f4f84-rmbcp,istio-proxy,4,92
default,memcached-rate-us-central-1-98d9cbc5b-jxthc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-98d9cbc5b-jxthc,istio-proxy,4,91
default,memcached-rate-us-central-1-98d9cbc5b-sdbff,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-98d9cbc5b-sdbff,istio-proxy,4,93
default,memcached-rate-us-east-1-547b97588d-sw6lc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547b97588d-sw6lc,istio-proxy,4,92
default,memcached-rate-us-east-1-547b97588d-tjx22,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547b97588d-tjx22,istio-proxy,4,92
default,memcached-rate-us-south-1-68f66bcf48-ktl9p,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-68f66bcf48-ktl9p,istio-proxy,4,94
default,memcached-rate-us-south-1-68f66bcf48-rzqpr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-68f66bcf48-rzqpr,istio-proxy,3,93
default,memcached-rate-us-west-1-5995cb6d9f-ngfvg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-5995cb6d9f-ngfvg,istio-proxy,4,94
default,memcached-rate-us-west-1-5995cb6d9f-tpmpc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-5995cb6d9f-tpmpc,istio-proxy,4,93
default,memcached-reserve-us-central-1-bb67c46cc-cdhwt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-bb67c46cc-cdhwt,istio-proxy,4,91
default,memcached-reserve-us-central-1-bb67c46cc-rmqgf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-bb67c46cc-rmqgf,istio-proxy,4,94
default,memcached-reserve-us-east-1-c967d7d9f-jqlwj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-c967d7d9f-jqlwj,istio-proxy,4,93
default,memcached-reserve-us-east-1-c967d7d9f-jzk9f,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-c967d7d9f-jzk9f,istio-proxy,4,92
default,memcached-reserve-us-south-1-96d667b97-mc4rz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-96d667b97-mc4rz,istio-proxy,4,91
default,memcached-reserve-us-south-1-96d667b97-xq9tl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-96d667b97-xq9tl,istio-proxy,4,94
default,memcached-reserve-us-west-1-69fbf9f9fb-bgnc9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-69fbf9f9fb-bgnc9,istio-proxy,4,93
default,memcached-reserve-us-west-1-69fbf9f9fb-nktmj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-69fbf9f9fb-nktmj,istio-proxy,5,94
default,mongodb-geo-us-central-1-79996767cf-hdtj2,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-79996767cf-hdtj2,istio-proxy,4,94
default,mongodb-geo-us-east-1-7d76f5cdb9-hfhz6,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-7d76f5cdb9-hfhz6,istio-proxy,4,92
default,mongodb-geo-us-south-1-7d5c8fc5d7-xwbb9,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-7d5c8fc5d7-xwbb9,istio-proxy,4,92
default,mongodb-geo-us-west-1-846c56fb5d-wrcwd,hotel-reserv-geo-mongo,5,161
default,mongodb-geo-us-west-1-846c56fb5d-wrcwd,istio-proxy,5,93
default,mongodb-profile-us-central-1-6bbbf6b6fb-bj8cm,hotel-reserv-profile-mongo,81,163
