Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7ccdffdf8b-m59bq,consul,10,35
default,consul-7ccdffdf8b-m59bq,istio-proxy,3,93
default,frontend-us-central-1-7975756c6f-jm7g5,hotel-reserv-frontend,26,7
default,frontend-us-central-1-7975756c6f-jm7g5,istio-proxy,4,92
default,frontend-us-central-1-7975756c6f-tpqmf,hotel-reserv-frontend,12,7
default,frontend-us-central-1-7975756c6f-tpqmf,istio-proxy,152,94
default,frontend-us-east-1-cc85cb659-4sh66,hotel-reserv-frontend,78,8
default,frontend-us-east-1-cc85cb659-4sh66,istio-proxy,4,91
default,frontend-us-east-1-cc85cb659-9lc8x,hotel-reserv-frontend,0,4
default,frontend-us-east-1-cc85cb659-9lc8x,istio-proxy,363,94
default,frontend-us-south-1-588879d465-j7cw7,hotel-reserv-frontend,0,4
default,frontend-us-south-1-588879d465-j7cw7,istio-proxy,6,94
default,frontend-us-south-1-588879d465-vljf9,hotel-reserv-frontend,0,4
default,frontend-us-south-1-588879d465-vljf9,istio-proxy,6,94
default,frontend-us-west-1-754bdf97dd-4mh6c,hotel-reserv-frontend,57,21
default,frontend-us-west-1-754bdf97dd-4mh6c,istio-proxy,1000,134
default,frontend-us-west-1-754bdf97dd-hbgkr,hotel-reserv-frontend,24,17
default,frontend-us-west-1-754bdf97dd-hbgkr,istio-proxy,5,118
default,geo-us-central-1-6cffcdf85f-hbllr,hotel-reserv-geo,7,7
default,geo-us-central-1-6cffcdf85f-hbllr,istio-proxy,6,94
default,geo-us-central-1-6cffcdf85f-xkdvv,hotel-reserv-geo,0,6
default,geo-us-central-1-6cffcdf85f-xkdvv,istio-proxy,5,91
default,geo-us-east-1-6487c57cc9-j4fwm,hotel-reserv-geo,16,8
default,geo-us-east-1-6487c57cc9-j4fwm,istio-proxy,5,92
default,geo-us-east-1-6487c57cc9-jqdt8,hotel-reserv-geo,0,6
default,geo-us-east-1-6487c57cc9-jqdt8,istio-proxy,4,93
default,geo-us-south-1-68c85f647f-68wkq,hotel-reserv-geo,0,6
default,geo-us-south-1-68c85f647f-68wkq,istio-proxy,4,94
default,geo-us-south-1-68c85f647f-hthb9,hotel-reserv-geo,4,6
default,geo-us-south-1-68c85f647f-hthb9,istio-proxy,4,92
default,geo-us-west-1-8577b4d45f-fjtwm,hotel-reserv-geo,0,15
default,geo-us-west-1-8577b4d45f-fjtwm,istio-proxy,6,91
default,geo-us-west-1-8577b4d45f-hfpzs,hotel-reserv-geo,0,10
default,geo-us-west-1-8577b4d45f-hfpzs,istio-proxy,5,92
default,jaeger-64f8df7ccd-chs8n,hotel-reserv-jaeger,0,11
default,jaeger-64f8df7ccd-chs8n,istio-proxy,4,94
default,memcached-profile-us-central-1-dff8c5447-b86pb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-dff8c5447-b86pb,istio-proxy,4,91
default,memcached-profile-us-central-1-dff8c5447-qz5zp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-dff8c5447-qz5zp,istio-proxy,4,92
default,memcached-profile-us-east-1-689dc98c75-dbtf4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-689dc98c75-dbtf4,istio-proxy,4,92
default,memcached-profile-us-east-1-689dc98c75-qx9gd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-689dc98c75-qx9gd,istio-proxy,4,93
default,memcached-profile-us-south-1-85fb55bc7f-dgvxd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-85fb55bc7f-dgvxd,istio-proxy,4,92
default,memcached-profile-us-south-1-85fb55bc7f-f6lt9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-85fb55bc7f-f6lt9,istio-proxy,4,92
default,memcached-profile-us-west-1-8b97f4f84-8c7wl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-8b97f4f84-8c7wl,istio-proxy,5,91
default,memcached-profile-us-west-1-8b97f4f84-rmbcp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-8b97f4f84-rmbcp,istio-proxy,4,92
default,memcached-rate-us-central-1-98d9cbc5b-jxthc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-98d9cbc5b-jxthc,istio-proxy,4,91
default,memcached-rate-us-central-1-98d9cbc5b-sdbff,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-98d9cbc5b-sdbff,istio-proxy,4,93
default,memcached-rate-us-east-1-547b97588d-sw6lc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547b97588d-sw6lc,istio-proxy,4,92
default,memcached-rate-us-east-1-547b97588d-tjx22,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547b97588d-tjx22,istio-proxy,5,92
default,memcached-rate-us-south-1-68f66bcf48-ktl9p,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-68f66bcf48-ktl9p,istio-proxy,3,94
default,memcached-rate-us-south-1-68f66bcf48-rzqpr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-68f66bcf48-rzqpr,istio-proxy,4,93
default,memcached-rate-us-west-1-5995cb6d9f-ngfvg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-5995cb6d9f-ngfvg,istio-proxy,4,93
