Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7ccdffdf8b-m59bq,consul,10,35
default,consul-7ccdffdf8b-m59bq,istio-proxy,3,93
default,frontend-us-central-1-7975756c6f-jm7g5,hotel-reserv-frontend,328,8
default,frontend-us-central-1-7975756c6f-jm7g5,istio-proxy,764,95
default,frontend-us-central-1-7975756c6f-tpqmf,hotel-reserv-frontend,321,8
default,frontend-us-central-1-7975756c6f-tpqmf,istio-proxy,531,96
default,frontend-us-east-1-cc85cb659-4sh66,hotel-reserv-frontend,220,8
default,frontend-us-east-1-cc85cb659-4sh66,istio-proxy,688,95
default,frontend-us-east-1-cc85cb659-9lc8x,hotel-reserv-frontend,206,8
default,frontend-us-east-1-cc85cb659-9lc8x,istio-proxy,682,97
default,frontend-us-south-1-588879d465-j7cw7,hotel-reserv-frontend,302,16
default,frontend-us-south-1-588879d465-j7cw7,istio-proxy,777,115
default,frontend-us-south-1-588879d465-vljf9,hotel-reserv-frontend,306,16
default,frontend-us-south-1-588879d465-vljf9,istio-proxy,600,115
default,frontend-us-west-1-754bdf97dd-4mh6c,hotel-reserv-frontend,494,25
default,frontend-us-west-1-754bdf97dd-4mh6c,istio-proxy,1091,139
default,frontend-us-west-1-754bdf97dd-hbgkr,hotel-reserv-frontend,543,25
default,frontend-us-west-1-754bdf97dd-hbgkr,istio-proxy,1483,139
default,geo-us-central-1-6cffcdf85f-hbllr,hotel-reserv-geo,54,8
default,geo-us-central-1-6cffcdf85f-hbllr,istio-proxy,66,95
default,geo-us-central-1-6cffcdf85f-xkdvv,hotel-reserv-geo,74,8
default,geo-us-central-1-6cffcdf85f-xkdvv,istio-proxy,138,92
default,geo-us-east-1-6487c57cc9-j4fwm,hotel-reserv-geo,58,8
default,geo-us-east-1-6487c57cc9-j4fwm,istio-proxy,115,93
default,geo-us-east-1-6487c57cc9-jqdt8,hotel-reserv-geo,56,8
default,geo-us-east-1-6487c57cc9-jqdt8,istio-proxy,80,94
default,geo-us-south-1-68c85f647f-68wkq,hotel-reserv-geo,53,10
default,geo-us-south-1-68c85f647f-68wkq,istio-proxy,134,95
default,geo-us-south-1-68c85f647f-hthb9,hotel-reserv-geo,84,10
default,geo-us-south-1-68c85f647f-hthb9,istio-proxy,141,93
default,geo-us-west-1-8577b4d45f-fjtwm,hotel-reserv-geo,97,11
default,geo-us-west-1-8577b4d45f-fjtwm,istio-proxy,141,93
default,geo-us-west-1-8577b4d45f-hfpzs,hotel-reserv-geo,92,11
default,geo-us-west-1-8577b4d45f-hfpzs,istio-proxy,111,93
default,jaeger-64f8df7ccd-chs8n,hotel-reserv-jaeger,312,302
default,jaeger-64f8df7ccd-chs8n,istio-proxy,3,94
default,memcached-profile-us-central-1-dff8c5447-b86pb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-dff8c5447-b86pb,istio-proxy,4,91
default,memcached-profile-us-central-1-dff8c5447-qz5zp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-dff8c5447-qz5zp,istio-proxy,4,92
default,memcached-profile-us-east-1-689dc98c75-dbtf4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-689dc98c75-dbtf4,istio-proxy,4,92
default,memcached-profile-us-east-1-689dc98c75-qx9gd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-689dc98c75-qx9gd,istio-proxy,4,93
default,memcached-profile-us-south-1-85fb55bc7f-dgvxd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-85fb55bc7f-dgvxd,istio-proxy,4,92
default,memcached-profile-us-south-1-85fb55bc7f-f6lt9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-85fb55bc7f-f6lt9,istio-proxy,4,92
default,memcached-profile-us-west-1-8b97f4f84-8c7wl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-8b97f4f84-8c7wl,istio-proxy,4,91
default,memcached-profile-us-west-1-8b97f4f84-rmbcp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-8b97f4f84-rmbcp,istio-proxy,5,92
default,memcached-rate-us-central-1-98d9cbc5b-jxthc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-98d9cbc5b-jxthc,istio-proxy,4,91
default,memcached-rate-us-central-1-98d9cbc5b-sdbff,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-98d9cbc5b-sdbff,istio-proxy,4,93
default,memcached-rate-us-east-1-547b97588d-sw6lc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547b97588d-sw6lc,istio-proxy,4,92
default,memcached-rate-us-east-1-547b97588d-tjx22,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547b97588d-tjx22,istio-proxy,4,92
default,memcached-rate-us-south-1-68f66bcf48-ktl9p,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-68f66bcf48-ktl9p,istio-proxy,4,94
default,memcached-rate-us-south-1-68f66bcf48-rzqpr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-68f66bcf48-rzqpr,istio-proxy,4,93
default,memcached-rate-us-west-1-5995cb6d9f-ngfvg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-5995cb6d9f-ngfvg,istio-proxy,5,94
