Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7ccdffdf8b-m59bq,consul,10,35
default,consul-7ccdffdf8b-m59bq,istio-proxy,7,94
default,frontend-us-central-1-7975756c6f-jm7g5,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7975756c6f-jm7g5,istio-proxy,7,92
default,frontend-us-central-1-7975756c6f-tpqmf,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7975756c6f-tpqmf,istio-proxy,7,92
default,frontend-us-east-1-cc85cb659-4sh66,hotel-reserv-frontend,0,4
default,frontend-us-east-1-cc85cb659-4sh66,istio-proxy,6,91
default,frontend-us-east-1-cc85cb659-9lc8x,hotel-reserv-frontend,0,4
default,frontend-us-east-1-cc85cb659-9lc8x,istio-proxy,6,92
default,frontend-us-south-1-588879d465-j7cw7,hotel-reserv-frontend,0,4
default,frontend-us-south-1-588879d465-j7cw7,istio-proxy,6,94
default,frontend-us-south-1-588879d465-vljf9,hotel-reserv-frontend,0,4
default,frontend-us-south-1-588879d465-vljf9,istio-proxy,6,94
default,frontend-us-west-1-754bdf97dd-4mh6c,hotel-reserv-frontend,0,13
default,frontend-us-west-1-754bdf97dd-4mh6c,istio-proxy,6,112
default,frontend-us-west-1-754bdf97dd-hbgkr,hotel-reserv-frontend,0,14
default,frontend-us-west-1-754bdf97dd-hbgkr,istio-proxy,7,118
default,geo-us-central-1-6cffcdf85f-hbllr,hotel-reserv-geo,0,6
default,geo-us-central-1-6cffcdf85f-hbllr,istio-proxy,6,94
default,geo-us-central-1-6cffcdf85f-xkdvv,hotel-reserv-geo,0,6
default,geo-us-central-1-6cffcdf85f-xkdvv,istio-proxy,7,91
default,geo-us-east-1-6487c57cc9-j4fwm,hotel-reserv-geo,0,5
default,geo-us-east-1-6487c57cc9-j4fwm,istio-proxy,7,92
default,geo-us-east-1-6487c57cc9-jqdt8,hotel-reserv-geo,0,6
default,geo-us-east-1-6487c57cc9-jqdt8,istio-proxy,7,93
default,geo-us-south-1-68c85f647f-68wkq,hotel-reserv-geo,0,5
default,geo-us-south-1-68c85f647f-68wkq,istio-proxy,7,94
default,geo-us-south-1-68c85f647f-hthb9,hotel-reserv-geo,0,6
default,geo-us-south-1-68c85f647f-hthb9,istio-proxy,7,92
default,geo-us-west-1-8577b4d45f-fjtwm,hotel-reserv-geo,0,15
default,geo-us-west-1-8577b4d45f-fjtwm,istio-proxy,6,91
default,geo-us-west-1-8577b4d45f-hfpzs,hotel-reserv-geo,0,10
default,geo-us-west-1-8577b4d45f-hfpzs,istio-proxy,6,92
default,jaeger-64f8df7ccd-chs8n,hotel-reserv-jaeger,0,11
default,jaeger-64f8df7ccd-chs8n,istio-proxy,4,94
default,memcached-profile-us-central-1-dff8c5447-b86pb,hotel-reserv-profile-mmc,0,1
