counter,region,service,endpoint,rps
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,688
1,us-west-1,user,user@POST@/user.User/CheckUser,700
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,229
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,489
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,573
1,us-west-1,search,search@POST@/search.Search/Nearby,719
1,us-west-1,frontend,frontend@POST@/reservation,478
1,us-west-1,frontend,frontend@POST@/user,263
1,us-west-1,frontend,frontend@GET@/recommendations,206
1,us-west-1,frontend,frontend@GET@/hotels,650
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,612
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,668
1,us-west-1,slateingress,slateingress@POST@/user,245
1,us-west-1,slateingress,slateingress@GET@/recommendations,201
1,us-west-1,slateingress,slateingress@POST@/reservation,431
1,us-west-1,slateingress,slateingress@GET@/hotels,590
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,212
1,us-central-1,search,search@POST@/search.Search/Nearby,116
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,107
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,102
1,us-central-1,frontend,frontend@GET@/hotels,108
1,us-central-1,frontend,frontend@POST@/user,107
1,us-central-1,frontend,frontend@GET@/recommendations,111
1,us-central-1,frontend,frontend@POST@/reservation,106
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,106
1,us-central-1,user,user@POST@/user.User/CheckUser,214
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-central-1,slateingress,slateingress@POST@/user,109
1,us-central-1,slateingress,slateingress@GET@/recommendations,113
1,us-central-1,slateingress,slateingress@GET@/hotels,104
1,us-central-1,slateingress,slateingress@POST@/reservation,122
1,us-south-1,search,search@POST@/search.Search/Nearby,106
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,102
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,110
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,110
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,85
1,us-south-1,frontend,frontend@GET@/recommendations,106
1,us-south-1,frontend,frontend@GET@/hotels,110
1,us-south-1,frontend,frontend@POST@/user,104
1,us-south-1,frontend,frontend@POST@/reservation,106
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,111
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,206
1,us-south-1,user,user@POST@/user.User/CheckUser,209
1,us-south-1,slateingress,slateingress@POST@/user,106
1,us-south-1,slateingress,slateingress@GET@/recommendations,104
1,us-south-1,slateingress,slateingress@POST@/reservation,106
1,us-south-1,slateingress,slateingress@GET@/hotels,93
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,101
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,211
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,106
1,us-east-1,search,search@POST@/search.Search/Nearby,107
1,us-east-1,user,user@POST@/user.User/CheckUser,210
1,us-east-1,frontend,frontend@POST@/user,110
1,us-east-1,frontend,frontend@GET@/hotels,104
1,us-east-1,frontend,frontend@GET@/recommendations,101
1,us-east-1,frontend,frontend@POST@/reservation,103
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,106
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,105
1,us-east-1,slateingress,slateingress@POST@/user,103
1,us-east-1,slateingress,slateingress@POST@/reservation,107
1,us-east-1,slateingress,slateingress@GET@/hotels,95
1,us-east-1,slateingress,slateingress@GET@/recommendations,105
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,1011
2,us-west-1,user,user@POST@/user.User/CheckUser,709
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,224
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,601
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,629
2,us-west-1,search,search@POST@/search.Search/Nearby,721
2,us-west-1,frontend,frontend@POST@/reservation,461
2,us-west-1,frontend,frontend@POST@/user,207
2,us-west-1,frontend,frontend@GET@/recommendations,207
2,us-west-1,frontend,frontend@GET@/hotels,561
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,753
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,1025
2,us-west-1,slateingress,slateingress@POST@/user,210
2,us-west-1,slateingress,slateingress@GET@/recommendations,216
2,us-west-1,slateingress,slateingress@POST@/reservation,473
2,us-west-1,slateingress,slateingress@GET@/hotels,555
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,217
2,us-central-1,search,search@POST@/search.Search/Nearby,107
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,110
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,109
2,us-central-1,frontend,frontend@GET@/hotels,107
2,us-central-1,frontend,frontend@POST@/user,107
2,us-central-1,frontend,frontend@GET@/recommendations,103
2,us-central-1,frontend,frontend@POST@/reservation,99
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,109
2,us-central-1,user,user@POST@/user.User/CheckUser,202
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,107
2,us-central-1,slateingress,slateingress@POST@/user,101
2,us-central-1,slateingress,slateingress@GET@/recommendations,96
2,us-central-1,slateingress,slateingress@GET@/hotels,113
2,us-central-1,slateingress,slateingress@POST@/reservation,97
2,us-south-1,search,search@POST@/search.Search/Nearby,104
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,99
