Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-698f8ff5f7-t64xm,consul,10,34
default,consul-698f8ff5f7-t64xm,istio-proxy,4,89
default,frontend-us-central-1-5bb9465658-chh6h,hotel-reserv-frontend,0,8
default,frontend-us-central-1-5bb9465658-chh6h,istio-proxy,4,93
default,frontend-us-central-1-5bb9465658-nz5rr,hotel-reserv-frontend,0,8
default,frontend-us-central-1-5bb9465658-nz5rr,istio-proxy,4,95
default,frontend-us-east-1-5cf79bf7f8-8rscf,hotel-reserv-frontend,0,8
default,frontend-us-east-1-5cf79bf7f8-8rscf,istio-proxy,4,93
default,frontend-us-east-1-5cf79bf7f8-nsz2j,hotel-reserv-frontend,0,8
default,frontend-us-east-1-5cf79bf7f8-nsz2j,istio-proxy,3,95
default,frontend-us-south-1-6db8846fd6-jntgv,hotel-reserv-frontend,51,8
default,frontend-us-south-1-6db8846fd6-jntgv,istio-proxy,4,91
default,frontend-us-south-1-6db8846fd6-klvss,hotel-reserv-frontend,0,7
default,frontend-us-south-1-6db8846fd6-klvss,istio-proxy,4,90
default,frontend-us-west-1-6cc84cbc6b-fhltn,hotel-reserv-frontend,102,38
default,frontend-us-west-1-6cc84cbc6b-fhltn,istio-proxy,4,157
default,frontend-us-west-1-6cc84cbc6b-xq5gz,hotel-reserv-frontend,0,42
default,frontend-us-west-1-6cc84cbc6b-xq5gz,istio-proxy,406,157
default,geo-us-central-1-6775cd86c7-btsv6,hotel-reserv-geo,0,8
default,geo-us-central-1-6775cd86c7-btsv6,istio-proxy,3,92
default,geo-us-central-1-6775cd86c7-dh7v4,hotel-reserv-geo,0,8
default,geo-us-central-1-6775cd86c7-dh7v4,istio-proxy,13,92
default,geo-us-east-1-597bd8c7f7-zg9rv,hotel-reserv-geo,0,8
default,geo-us-east-1-597bd8c7f7-zg9rv,istio-proxy,11,94
default,geo-us-east-1-597bd8c7f7-zjc25,hotel-reserv-geo,9,8
default,geo-us-east-1-597bd8c7f7-zjc25,istio-proxy,21,91
default,geo-us-south-1-688b4fcb85-5kp2x,hotel-reserv-geo,2,8
default,geo-us-south-1-688b4fcb85-5kp2x,istio-proxy,4,94
default,geo-us-south-1-688b4fcb85-whq59,hotel-reserv-geo,0,8
default,geo-us-south-1-688b4fcb85-whq59,istio-proxy,17,93
default,geo-us-west-1-5f876cbb89-cn5z8,hotel-reserv-geo,11,16
default,geo-us-west-1-5f876cbb89-cn5z8,istio-proxy,28,90
default,geo-us-west-1-5f876cbb89-prkkk,hotel-reserv-geo,0,13
default,geo-us-west-1-5f876cbb89-prkkk,istio-proxy,4,93
default,jaeger-8495699c89-rshzt,hotel-reserv-jaeger,0,139
default,jaeger-8495699c89-rshzt,istio-proxy,3,92
default,memcached-profile-us-central-1-74564686c4-625g4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-74564686c4-625g4,istio-proxy,4,92
default,memcached-profile-us-central-1-74564686c4-np99z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-74564686c4-np99z,istio-proxy,4,89
default,memcached-profile-us-east-1-db7c84fbd-95qql,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-db7c84fbd-95qql,istio-proxy,4,88
default,memcached-profile-us-east-1-db7c84fbd-rm596,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-db7c84fbd-rm596,istio-proxy,4,89
default,memcached-profile-us-south-1-6df744b7c8-57t2h,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6df744b7c8-57t2h,istio-proxy,4,91
default,memcached-profile-us-south-1-6df744b7c8-pj2s8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6df744b7c8-pj2s8,istio-proxy,3,93
default,memcached-profile-us-west-1-55574b6d76-2zfbn,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-55574b6d76-2zfbn,istio-proxy,3,90
default,memcached-profile-us-west-1-55574b6d76-ksvms,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-55574b6d76-ksvms,istio-proxy,4,88
default,memcached-rate-us-central-1-6b4dbd56b8-9wqkl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b4dbd56b8-9wqkl,istio-proxy,3,94
default,memcached-rate-us-central-1-6b4dbd56b8-gdgwq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b4dbd56b8-gdgwq,istio-proxy,4,91
default,memcached-rate-us-east-1-66d7cdf9d4-2vx77,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-66d7cdf9d4-2vx77,istio-proxy,3,92
default,memcached-rate-us-east-1-66d7cdf9d4-4nn4m,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-66d7cdf9d4-4nn4m,istio-proxy,4,90
default,memcached-rate-us-south-1-544f4c998d-g5zr2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-544f4c998d-g5zr2,istio-proxy,3,90
default,memcached-rate-us-south-1-544f4c998d-g7jz8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-544f4c998d-g7jz8,istio-proxy,4,91
default,memcached-rate-us-west-1-6b47469fbd-h569v,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6b47469fbd-h569v,istio-proxy,3,90
default,memcached-rate-us-west-1-6b47469fbd-vj7qp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6b47469fbd-vj7qp,istio-proxy,3,91
default,memcached-reserve-us-central-1-7d78679d54-qh4hr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7d78679d54-qh4hr,istio-proxy,3,90
default,memcached-reserve-us-central-1-7d78679d54-sh5tb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7d78679d54-sh5tb,istio-proxy,4,90
default,memcached-reserve-us-east-1-6d65575874-gk6zp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6d65575874-gk6zp,istio-proxy,3,89
default,memcached-reserve-us-east-1-6d65575874-h2qr5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6d65575874-h2qr5,istio-proxy,3,92
default,memcached-reserve-us-south-1-557f6949fd-2s9ww,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-557f6949fd-2s9ww,istio-proxy,4,91
default,memcached-reserve-us-south-1-557f6949fd-nm694,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-557f6949fd-nm694,istio-proxy,4,89
default,memcached-reserve-us-west-1-7b46978b46-4g5q7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b46978b46-4g5q7,istio-proxy,4,90
default,memcached-reserve-us-west-1-7b46978b46-lwfrk,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b46978b46-lwfrk,istio-proxy,4,89
default,mongodb-geo-us-central-1-58fdddc597-jt4x4,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-58fdddc597-jt4x4,istio-proxy,4,92
default,mongodb-geo-us-east-1-6c979f49f5-wlz87,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-6c979f49f5-wlz87,istio-proxy,4,92
default,mongodb-geo-us-south-1-8b8bdb549-dbqb6,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-8b8bdb549-dbqb6,istio-proxy,4,89
default,mongodb-geo-us-west-1-6c4f4d76c5-pmplc,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-6c4f4d76c5-pmplc,istio-proxy,3,90
default,mongodb-profile-us-central-1-58b7bfc899-5bgvv,hotel-reserv-profile-mongo,10,163
default,mongodb-profile-us-central-1-58b7bfc899-5bgvv,istio-proxy,11,90
default,mongodb-profile-us-east-1-5648d5fdf-jqbc2,hotel-reserv-profile-mongo,18,165
default,mongodb-profile-us-east-1-5648d5fdf-jqbc2,istio-proxy,4,91
default,mongodb-profile-us-south-1-54cc69767f-mb55m,hotel-reserv-profile-mongo,3,163
default,mongodb-profile-us-south-1-54cc69767f-mb55m,istio-proxy,4,91
default,mongodb-profile-us-west-1-7b5d88cb49-76vm5,hotel-reserv-profile-mongo,44,175
default,mongodb-profile-us-west-1-7b5d88cb49-76vm5,istio-proxy,4,91
