Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-698f8ff5f7-t64xm,consul,10,35
default,consul-698f8ff5f7-t64xm,istio-proxy,3,89
default,frontend-us-central-1-5bb9465658-chh6h,hotel-reserv-frontend,174,8
default,frontend-us-central-1-5bb9465658-chh6h,istio-proxy,487,93
default,frontend-us-central-1-5bb9465658-nz5rr,hotel-reserv-frontend,195,8
default,frontend-us-central-1-5bb9465658-nz5rr,istio-proxy,417,92
default,frontend-us-east-1-5cf79bf7f8-8rscf,hotel-reserv-frontend,195,8
default,frontend-us-east-1-5cf79bf7f8-8rscf,istio-proxy,475,91
default,frontend-us-east-1-5cf79bf7f8-nsz2j,hotel-reserv-frontend,165,8
default,frontend-us-east-1-5cf79bf7f8-nsz2j,istio-proxy,382,95
default,frontend-us-south-1-6db8846fd6-jntgv,hotel-reserv-frontend,201,8
default,frontend-us-south-1-6db8846fd6-jntgv,istio-proxy,492,92
default,frontend-us-south-1-6db8846fd6-klvss,hotel-reserv-frontend,175,8
default,frontend-us-south-1-6db8846fd6-klvss,istio-proxy,482,91
default,frontend-us-west-1-6cc84cbc6b-fhltn,hotel-reserv-frontend,303,50
default,frontend-us-west-1-6cc84cbc6b-fhltn,istio-proxy,1386,175
default,frontend-us-west-1-6cc84cbc6b-xq5gz,hotel-reserv-frontend,627,36
default,frontend-us-west-1-6cc84cbc6b-xq5gz,istio-proxy,2175,161
default,geo-us-central-1-6775cd86c7-btsv6,hotel-reserv-geo,26,8
default,geo-us-central-1-6775cd86c7-btsv6,istio-proxy,37,89
default,geo-us-central-1-6775cd86c7-dh7v4,hotel-reserv-geo,22,8
default,geo-us-central-1-6775cd86c7-dh7v4,istio-proxy,55,92
default,geo-us-east-1-597bd8c7f7-zg9rv,hotel-reserv-geo,28,8
default,geo-us-east-1-597bd8c7f7-zg9rv,istio-proxy,55,89
default,geo-us-east-1-597bd8c7f7-zjc25,hotel-reserv-geo,27,8
default,geo-us-east-1-597bd8c7f7-zjc25,istio-proxy,53,91
default,geo-us-south-1-688b4fcb85-5kp2x,hotel-reserv-geo,27,8
default,geo-us-south-1-688b4fcb85-5kp2x,istio-proxy,52,94
default,geo-us-south-1-688b4fcb85-whq59,hotel-reserv-geo,26,8
default,geo-us-south-1-688b4fcb85-whq59,istio-proxy,57,89
default,geo-us-west-1-5f876cbb89-cn5z8,hotel-reserv-geo,127,17
default,geo-us-west-1-5f876cbb89-cn5z8,istio-proxy,348,93
default,geo-us-west-1-5f876cbb89-prkkk,hotel-reserv-geo,129,15
default,geo-us-west-1-5f876cbb89-prkkk,istio-proxy,190,92
default,jaeger-8495699c89-rshzt,hotel-reserv-jaeger,236,350
default,jaeger-8495699c89-rshzt,istio-proxy,4,88
default,memcached-profile-us-central-1-74564686c4-625g4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-74564686c4-625g4,istio-proxy,4,89
default,memcached-profile-us-central-1-74564686c4-np99z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-74564686c4-np99z,istio-proxy,4,89
default,memcached-profile-us-east-1-db7c84fbd-95qql,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-db7c84fbd-95qql,istio-proxy,4,88
default,memcached-profile-us-east-1-db7c84fbd-rm596,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-db7c84fbd-rm596,istio-proxy,4,89
default,memcached-profile-us-south-1-6df744b7c8-57t2h,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6df744b7c8-57t2h,istio-proxy,4,91
default,memcached-profile-us-south-1-6df744b7c8-pj2s8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6df744b7c8-pj2s8,istio-proxy,4,93
default,memcached-profile-us-west-1-55574b6d76-2zfbn,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-55574b6d76-2zfbn,istio-proxy,5,90
default,memcached-profile-us-west-1-55574b6d76-ksvms,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-55574b6d76-ksvms,istio-proxy,4,88
default,memcached-rate-us-central-1-6b4dbd56b8-9wqkl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b4dbd56b8-9wqkl,istio-proxy,4,90
default,memcached-rate-us-central-1-6b4dbd56b8-gdgwq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b4dbd56b8-gdgwq,istio-proxy,4,91
default,memcached-rate-us-east-1-66d7cdf9d4-2vx77,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-66d7cdf9d4-2vx77,istio-proxy,4,92
default,memcached-rate-us-east-1-66d7cdf9d4-4nn4m,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-66d7cdf9d4-4nn4m,istio-proxy,4,90
default,memcached-rate-us-south-1-544f4c998d-g5zr2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-544f4c998d-g5zr2,istio-proxy,4,90
default,memcached-rate-us-south-1-544f4c998d-g7jz8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-544f4c998d-g7jz8,istio-proxy,4,91
default,memcached-rate-us-west-1-6b47469fbd-h569v,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6b47469fbd-h569v,istio-proxy,5,90
default,memcached-rate-us-west-1-6b47469fbd-vj7qp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6b47469fbd-vj7qp,istio-proxy,4,87
default,memcached-reserve-us-central-1-7d78679d54-qh4hr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7d78679d54-qh4hr,istio-proxy,4,87
default,memcached-reserve-us-central-1-7d78679d54-sh5tb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7d78679d54-sh5tb,istio-proxy,4,90
default,memcached-reserve-us-east-1-6d65575874-gk6zp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6d65575874-gk6zp,istio-proxy,4,89
default,memcached-reserve-us-east-1-6d65575874-h2qr5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6d65575874-h2qr5,istio-proxy,3,92
default,memcached-reserve-us-south-1-557f6949fd-2s9ww,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-557f6949fd-2s9ww,istio-proxy,4,91
default,memcached-reserve-us-south-1-557f6949fd-nm694,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-557f6949fd-nm694,istio-proxy,3,89
default,memcached-reserve-us-west-1-7b46978b46-4g5q7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b46978b46-4g5q7,istio-proxy,5,90
default,memcached-reserve-us-west-1-7b46978b46-lwfrk,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b46978b46-lwfrk,istio-proxy,5,89
default,mongodb-geo-us-central-1-58fdddc597-jt4x4,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-58fdddc597-jt4x4,istio-proxy,4,92
default,mongodb-geo-us-east-1-6c979f49f5-wlz87,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-6c979f49f5-wlz87,istio-proxy,4,92
default,mongodb-geo-us-south-1-8b8bdb549-dbqb6,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-8b8bdb549-dbqb6,istio-proxy,4,89
default,mongodb-geo-us-west-1-6c4f4d76c5-pmplc,hotel-reserv-geo-mongo,5,161
default,mongodb-geo-us-west-1-6c4f4d76c5-pmplc,istio-proxy,5,90
default,mongodb-profile-us-central-1-58b7bfc899-5bgvv,hotel-reserv-profile-mongo,81,164
default,mongodb-profile-us-central-1-58b7bfc899-5bgvv,istio-proxy,31,90
default,mongodb-profile-us-east-1-5648d5fdf-jqbc2,hotel-reserv-profile-mongo,74,165
default,mongodb-profile-us-east-1-5648d5fdf-jqbc2,istio-proxy,44,91
default,mongodb-profile-us-south-1-54cc69767f-mb55m,hotel-reserv-profile-mongo,77,164
default,mongodb-profile-us-south-1-54cc69767f-mb55m,istio-proxy,42,91
default,mongodb-profile-us-west-1-7b5d88cb49-76vm5,hotel-reserv-profile-mongo,74,174
default,mongodb-profile-us-west-1-7b5d88cb49-76vm5,istio-proxy,45,91
default,mongodb-rate-us-central-1-574b6594b8-csglg,hotel-reserv-rate-mongo,184,160
default,mongodb-rate-us-central-1-574b6594b8-csglg,istio-proxy,23,87
default,mongodb-rate-us-east-1-64bcdb9f9d-59qrt,hotel-reserv-rate-mongo,132,160
default,mongodb-rate-us-east-1-64bcdb9f9d-59qrt,istio-proxy,22,91
default,mongodb-rate-us-south-1-6fd59c4cfb-kjtm5,hotel-reserv-rate-mongo,143,162
default,mongodb-rate-us-south-1-6fd59c4cfb-kjtm5,istio-proxy,19,88
default,mongodb-rate-us-west-1-5cd4d9876b-l2khb,hotel-reserv-rate-mongo,1108,180
default,mongodb-rate-us-west-1-5cd4d9876b-l2khb,istio-proxy,95,89
default,mongodb-recommendation-us-central-1-85485466dc-s8tl8,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-central-1-85485466dc-s8tl8,istio-proxy,4,88
default,mongodb-recommendation-us-east-1-866bcf5d6f-m654v,hotel-reserv-recommendation-mongo,5,163
default,mongodb-recommendation-us-east-1-866bcf5d6f-m654v,istio-proxy,4,89
default,mongodb-recommendation-us-south-1-6c49bb775f-fpjxw,hotel-reserv-recommendation-mongo,4,163
default,mongodb-recommendation-us-south-1-6c49bb775f-fpjxw,istio-proxy,4,89
default,mongodb-recommendation-us-west-1-88477857-q7jwz,hotel-reserv-recommendation-mongo,5,163
default,mongodb-recommendation-us-west-1-88477857-q7jwz,istio-proxy,5,88
default,mongodb-reservation-us-central-1-766f64bc5-cslzg,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-central-1-766f64bc5-cslzg,istio-proxy,4,89
default,mongodb-reservation-us-east-1-5669fb84fc-crlcl,hotel-reserv-reservation-mongo,3,159
default,mongodb-reservation-us-east-1-5669fb84fc-crlcl,istio-proxy,5,88
default,mongodb-reservation-us-south-1-f455df89f-975cg,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-south-1-f455df89f-975cg,istio-proxy,3,92
default,mongodb-reservation-us-west-1-5fb5d8d4b9-zjqvm,hotel-reserv-reservation-mongo,5,161
default,mongodb-reservation-us-west-1-5fb5d8d4b9-zjqvm,istio-proxy,6,87
default,mongodb-user-us-central-1-85fdd6cf95-xgzvt,hotel-reserv-user-mongo,4,209
default,mongodb-user-us-central-1-85fdd6cf95-xgzvt,istio-proxy,4,88
default,mongodb-user-us-east-1-69669bff5c-fg7m9,hotel-reserv-user-mongo,3,204
default,mongodb-user-us-east-1-69669bff5c-fg7m9,istio-proxy,4,92
default,mongodb-user-us-south-1-77db46847f-9cjrp,hotel-reserv-user-mongo,4,193
default,mongodb-user-us-south-1-77db46847f-9cjrp,istio-proxy,4,90
default,mongodb-user-us-west-1-66999c68cc-ngc7q,hotel-reserv-user-mongo,5,161
default,mongodb-user-us-west-1-66999c68cc-ngc7q,istio-proxy,4,88
default,profile-us-central-1-84557d4887-f2ztd,hotel-reserv-profile,97,9
default,profile-us-central-1-84557d4887-f2ztd,istio-proxy,114,91
default,profile-us-central-1-84557d4887-p8594,hotel-reserv-profile,128,9
default,profile-us-central-1-84557d4887-p8594,istio-proxy,115,89
default,profile-us-east-1-7ddbd7979f-5nrqq,hotel-reserv-profile,113,8
default,profile-us-east-1-7ddbd7979f-5nrqq,istio-proxy,114,88
default,profile-us-east-1-7ddbd7979f-hv9pn,hotel-reserv-profile,117,9
default,profile-us-east-1-7ddbd7979f-hv9pn,istio-proxy,117,91
default,profile-us-south-1-55ff8679bc-gx884,hotel-reserv-profile,130,8
default,profile-us-south-1-55ff8679bc-gx884,istio-proxy,102,95
default,profile-us-south-1-55ff8679bc-xhwt2,hotel-reserv-profile,119,9
default,profile-us-south-1-55ff8679bc-xhwt2,istio-proxy,93,91
default,profile-us-west-1-579844d855-blp6q,hotel-reserv-profile,129,33
default,profile-us-west-1-579844d855-blp6q,istio-proxy,279,117
default,profile-us-west-1-579844d855-nls5r,hotel-reserv-profile,230,34
default,profile-us-west-1-579844d855-nls5r,istio-proxy,499,105
default,rate-us-central-1-64575cf77f-d6hqg,hotel-reserv-rate,69,8
default,rate-us-central-1-64575cf77f-d6hqg,istio-proxy,48,91
default,rate-us-central-1-64575cf77f-g74d2,hotel-reserv-rate,78,9
default,rate-us-central-1-64575cf77f-g74d2,istio-proxy,52,91
default,rate-us-east-1-54b7cff65-czr2x,hotel-reserv-rate,53,8
default,rate-us-east-1-54b7cff65-czr2x,istio-proxy,60,90
default,rate-us-east-1-54b7cff65-x9hkk,hotel-reserv-rate,75,8
default,rate-us-east-1-54b7cff65-x9hkk,istio-proxy,51,90
default,rate-us-south-1-55b954f9-pxw8b,hotel-reserv-rate,70,9
default,rate-us-south-1-55b954f9-pxw8b,istio-proxy,69,90
default,rate-us-south-1-55b954f9-w7p27,hotel-reserv-rate,62,8
default,rate-us-south-1-55b954f9-w7p27,istio-proxy,65,90
default,rate-us-west-1-6f78bff9bf-5t7l7,hotel-reserv-rate,173,24
default,rate-us-west-1-6f78bff9bf-5t7l7,istio-proxy,127,98
default,rate-us-west-1-6f78bff9bf-hm2wp,hotel-reserv-rate,484,24
default,rate-us-west-1-6f78bff9bf-hm2wp,istio-proxy,326,98
default,recommendation-us-central-1-557c58df7c-cvk5n,hotel-reserv-recommendation,24,8
default,recommendation-us-central-1-557c58df7c-cvk5n,istio-proxy,47,89
default,recommendation-us-central-1-557c58df7c-fz44l,hotel-reserv-recommendation,23,8
default,recommendation-us-central-1-557c58df7c-fz44l,istio-proxy,42,88
default,recommendation-us-east-1-79685ddfc7-brhm2,hotel-reserv-recommendation,27,8
default,recommendation-us-east-1-79685ddfc7-brhm2,istio-proxy,54,90
default,recommendation-us-east-1-79685ddfc7-wf9qt,hotel-reserv-recommendation,26,8
default,recommendation-us-east-1-79685ddfc7-wf9qt,istio-proxy,51,90
default,recommendation-us-south-1-64745769d5-6cmnf,hotel-reserv-recommendation,20,8
default,recommendation-us-south-1-64745769d5-6cmnf,istio-proxy,54,91
default,recommendation-us-south-1-64745769d5-lx96k,hotel-reserv-recommendation,29,8
default,recommendation-us-south-1-64745769d5-lx96k,istio-proxy,54,90
default,recommendation-us-west-1-66fdf57f7-4gq5m,hotel-reserv-recommendation,13,10
default,recommendation-us-west-1-66fdf57f7-4gq5m,istio-proxy,62,91
default,recommendation-us-west-1-66fdf57f7-r6xvd,hotel-reserv-recommendation,31,9
default,recommendation-us-west-1-66fdf57f7-r6xvd,istio-proxy,36,89
default,reservation-us-central-1-85498b7d6b-c8ks2,hotel-reserv-reservation,812,11
default,reservation-us-central-1-85498b7d6b-c8ks2,istio-proxy,95,90
default,reservation-us-central-1-85498b7d6b-z5p47,hotel-reserv-reservation,796,10
default,reservation-us-central-1-85498b7d6b-z5p47,istio-proxy,102,93
default,reservation-us-east-1-bf448698-m5fgn,hotel-reserv-reservation,811,13
default,reservation-us-east-1-bf448698-m5fgn,istio-proxy,103,89
default,reservation-us-east-1-bf448698-vcmft,hotel-reserv-reservation,531,12
default,reservation-us-east-1-bf448698-vcmft,istio-proxy,74,90
default,reservation-us-south-1-5c4546c866-6w4nd,hotel-reserv-reservation,782,12
default,reservation-us-south-1-5c4546c866-6w4nd,istio-proxy,87,89
default,reservation-us-south-1-5c4546c866-p5sck,hotel-reserv-reservation,787,11
default,reservation-us-south-1-5c4546c866-p5sck,istio-proxy,89,93
default,reservation-us-west-1-857f64985d-7p5fq,hotel-reserv-reservation,2486,52
default,reservation-us-west-1-857f64985d-7p5fq,istio-proxy,444,108
default,reservation-us-west-1-857f64985d-m2mcq,hotel-reserv-reservation,3085,94
default,reservation-us-west-1-857f64985d-m2mcq,istio-proxy,475,104
default,search-us-central-1-66f7b79d7f-27lfw,hotel-reserv-search,72,7
default,search-us-central-1-66f7b79d7f-27lfw,istio-proxy,146,92
default,search-us-central-1-66f7b79d7f-rnd7d,hotel-reserv-search,73,7
default,search-us-central-1-66f7b79d7f-rnd7d,istio-proxy,142,93
default,search-us-east-1-b8b87d58f-s5t5g,hotel-reserv-search,61,8
default,search-us-east-1-b8b87d58f-s5t5g,istio-proxy,115,90
default,search-us-east-1-b8b87d58f-xkhxv,hotel-reserv-search,58,7
default,search-us-east-1-b8b87d58f-xkhxv,istio-proxy,128,88
default,search-us-south-1-7cd8f47d67-66qbp,hotel-reserv-search,76,8
default,search-us-south-1-7cd8f47d67-66qbp,istio-proxy,142,93
default,search-us-south-1-7cd8f47d67-tjxlz,hotel-reserv-search,72,7
default,search-us-south-1-7cd8f47d67-tjxlz,istio-proxy,145,92
default,search-us-west-1-7998cc7c69-dln7s,hotel-reserv-search,282,29
default,search-us-west-1-7998cc7c69-dln7s,istio-proxy,377,104
default,search-us-west-1-7998cc7c69-vl4jn,hotel-reserv-search,135,28
default,search-us-west-1-7998cc7c69-vl4jn,istio-proxy,479,101
default,slate-controller-cfd6d77cf-vbv9c,slate-controller,969,168
default,slate-controller-cfd6d77cf-vbv9c,istio-proxy,102,107
default,slateingress-us-central-1-76c795c9bf-75lft,slateingress,175,12
default,slateingress-us-central-1-76c795c9bf-75lft,istio-proxy,221,104
default,slateingress-us-central-1-76c795c9bf-xhb97,slateingress,130,12
default,slateingress-us-central-1-76c795c9bf-xhb97,istio-proxy,265,103
default,slateingress-us-east-1-74b68cb69f-qmspj,slateingress,113,12
default,slateingress-us-east-1-74b68cb69f-qmspj,istio-proxy,335,104
default,slateingress-us-east-1-74b68cb69f-v8gdx,slateingress,180,12
default,slateingress-us-east-1-74b68cb69f-v8gdx,istio-proxy,322,106
default,slateingress-us-south-1-5746ffdb4f-5flkb,slateingress,156,12
default,slateingress-us-south-1-5746ffdb4f-5flkb,istio-proxy,340,103
default,slateingress-us-south-1-5746ffdb4f-8f7wj,slateingress,178,12
default,slateingress-us-south-1-5746ffdb4f-8f7wj,istio-proxy,309,104
default,slateingress-us-west-1-7994bf9b75-7f5rb,slateingress,644,69
default,slateingress-us-west-1-7994bf9b75-7f5rb,istio-proxy,1092,214
