Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-58f56cf56f-n2kgh,consul,10,35
default,consul-58f56cf56f-n2kgh,istio-proxy,4,92
default,frontend-us-central-1-865cccd5bb-qqbft,hotel-reserv-frontend,87,8
default,frontend-us-central-1-865cccd5bb-qqbft,istio-proxy,359,94
default,frontend-us-central-1-865cccd5bb-w4lvq,hotel-reserv-frontend,62,12
default,frontend-us-central-1-865cccd5bb-w4lvq,istio-proxy,291,104
default,frontend-us-east-1-78f8c4485f-j7jsg,hotel-reserv-frontend,188,8
default,frontend-us-east-1-78f8c4485f-j7jsg,istio-proxy,483,95
default,frontend-us-east-1-78f8c4485f-xpqzq,hotel-reserv-frontend,194,8
default,frontend-us-east-1-78f8c4485f-xpqzq,istio-proxy,383,95
default,frontend-us-south-1-6b5c487985-4689k,hotel-reserv-frontend,195,8
default,frontend-us-south-1-6b5c487985-4689k,istio-proxy,471,93
default,frontend-us-south-1-6b5c487985-7l8jr,hotel-reserv-frontend,195,8
default,frontend-us-south-1-6b5c487985-7l8jr,istio-proxy,462,94
default,frontend-us-west-1-5f64d5787f-76w5h,hotel-reserv-frontend,685,16
default,frontend-us-west-1-5f64d5787f-76w5h,istio-proxy,2191,116
default,frontend-us-west-1-5f64d5787f-zb592,hotel-reserv-frontend,626,16
default,frontend-us-west-1-5f64d5787f-zb592,istio-proxy,2071,112
default,geo-us-central-1-7579c665d6-4pg24,hotel-reserv-geo,9,7
default,geo-us-central-1-7579c665d6-4pg24,istio-proxy,23,94
default,geo-us-central-1-7579c665d6-nhxfv,hotel-reserv-geo,6,7
default,geo-us-central-1-7579c665d6-nhxfv,istio-proxy,8,92
default,geo-us-east-1-796b6f4cfb-mbbg8,hotel-reserv-geo,28,8
default,geo-us-east-1-796b6f4cfb-mbbg8,istio-proxy,54,92
default,geo-us-east-1-796b6f4cfb-zhvs6,hotel-reserv-geo,27,8
default,geo-us-east-1-796b6f4cfb-zhvs6,istio-proxy,52,92
default,geo-us-south-1-db6f7f459-lsnrx,hotel-reserv-geo,24,8
