Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-58f56cf56f-n2kgh,consul,10,35
default,consul-58f56cf56f-n2kgh,istio-proxy,3,93
default,frontend-us-central-1-865cccd5bb-qqbft,hotel-reserv-frontend,0,4
default,frontend-us-central-1-865cccd5bb-qqbft,istio-proxy,3,92
default,frontend-us-central-1-865cccd5bb-w4lvq,hotel-reserv-frontend,0,4
default,frontend-us-central-1-865cccd5bb-w4lvq,istio-proxy,3,94
default,frontend-us-east-1-78f8c4485f-j7jsg,hotel-reserv-frontend,0,4
default,frontend-us-east-1-78f8c4485f-j7jsg,istio-proxy,4,92
default,frontend-us-east-1-78f8c4485f-xpqzq,hotel-reserv-frontend,0,4
default,frontend-us-east-1-78f8c4485f-xpqzq,istio-proxy,4,93
default,frontend-us-south-1-6b5c487985-4689k,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6b5c487985-4689k,istio-proxy,3,92
default,frontend-us-south-1-6b5c487985-7l8jr,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6b5c487985-7l8jr,istio-proxy,4,92
default,frontend-us-west-1-5f64d5787f-76w5h,hotel-reserv-frontend,0,8
default,frontend-us-west-1-5f64d5787f-76w5h,istio-proxy,3,96
default,frontend-us-west-1-5f64d5787f-zb592,hotel-reserv-frontend,0,7
default,frontend-us-west-1-5f64d5787f-zb592,istio-proxy,3,96
default,geo-us-central-1-7579c665d6-4pg24,hotel-reserv-geo,0,7
default,geo-us-central-1-7579c665d6-4pg24,istio-proxy,4,94
default,geo-us-central-1-7579c665d6-nhxfv,hotel-reserv-geo,0,7
default,geo-us-central-1-7579c665d6-nhxfv,istio-proxy,3,91
default,geo-us-east-1-796b6f4cfb-mbbg8,hotel-reserv-geo,0,7
default,geo-us-east-1-796b6f4cfb-mbbg8,istio-proxy,3,92
default,geo-us-east-1-796b6f4cfb-zhvs6,hotel-reserv-geo,0,6
default,geo-us-east-1-796b6f4cfb-zhvs6,istio-proxy,4,91
default,geo-us-south-1-db6f7f459-lsnrx,hotel-reserv-geo,0,6
default,geo-us-south-1-db6f7f459-lsnrx,istio-proxy,4,91
default,geo-us-south-1-db6f7f459-qdsk9,hotel-reserv-geo,0,7
default,geo-us-south-1-db6f7f459-qdsk9,istio-proxy,3,94
default,geo-us-west-1-77b967f67f-9mw9n,hotel-reserv-geo,0,6
default,geo-us-west-1-77b967f67f-9mw9n,istio-proxy,4,90
default,geo-us-west-1-77b967f67f-qb7c9,hotel-reserv-geo,0,6
default,geo-us-west-1-77b967f67f-qb7c9,istio-proxy,4,92
default,jaeger-78b5496767-t46qv,hotel-reserv-jaeger,0,10
default,jaeger-78b5496767-t46qv,istio-proxy,3,97
default,memcached-profile-us-central-1-7978c7c888-bj56n,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7978c7c888-bj56n,istio-proxy,4,91
default,memcached-profile-us-central-1-7978c7c888-ssqv4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7978c7c888-ssqv4,istio-proxy,4,92
default,memcached-profile-us-east-1-59f64db4c8-2bwdv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-59f64db4c8-2bwdv,istio-proxy,3,94
default,memcached-profile-us-east-1-59f64db4c8-w4qrf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-59f64db4c8-w4qrf,istio-proxy,3,92
default,memcached-profile-us-south-1-5d6b694d75-j7wv4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5d6b694d75-j7wv4,istio-proxy,3,90
default,memcached-profile-us-south-1-5d6b694d75-tvktk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5d6b694d75-tvktk,istio-proxy,3,90
default,memcached-profile-us-west-1-77dd4c6cd7-7vnzl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-77dd4c6cd7-7vnzl,istio-proxy,3,92
default,memcached-profile-us-west-1-77dd4c6cd7-dw55h,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-77dd4c6cd7-dw55h,istio-proxy,4,94
default,memcached-rate-us-central-1-77c44977cf-4vjw9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-77c44977cf-4vjw9,istio-proxy,4,91
default,memcached-rate-us-central-1-77c44977cf-mt8p2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-77c44977cf-mt8p2,istio-proxy,3,92
default,memcached-rate-us-east-1-66c9f8d97c-5km7z,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-66c9f8d97c-5km7z,istio-proxy,3,93
